framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.22	1893.26	1667.22	0.0002	23.7	98.6	100	100	90	13.93	74.7	24.9	0	1087.06	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6764	2.36	193581	61947	3	90.45	3.12	5696	105	1759	2193.12	1759	0.0001	5.8	97.8	100	100	90	14.62	59.8	19.93	0	1069.03	0	-0.005	13	859	484	89	616.31	29894.72
astro	True	1423	2.17	11475	3814	1	100	3.01	2492	112	1169.97	1512.37	1169.97	0.0001	0	100	100	100	90	18.84	114.5	38.17	0	1063.3	0	-0.005	4	546	372	73	159.38	18153.98
jquery	True	1181	2.26	100009	34722	1	99.5	2.88	1035	108	1831.39	2023.39	1831.39	0.1459	0	92	100	99.2	90	14.07	69.8	23.27	0	1082.55	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	787	2.21	59808	15719	1	98.81	3.8	1023	105	1564.38	1837.54	1564.38	0.055	2.2	99	96	100	90	12.96	74.7	24.9	0	1076.41	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	29.07	153.2	57.13	0	1051.41	39.8	0.002	4	321	234	67	154.88	17543.75
preact	True	820	2.18	27622	10088	1	100	2.74	1024	106	1364.15	1674.62	1364.15	0.0001	0	99.4	100	100	90	14.17	74.8	14.13	0	1061.81	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1349	2.25	91158	34628	13	100	2.63	1032	107	1415.78	2121.29	1415.78	0.869	0	79	96	100	90	14.07	69.8	23.27	0	1080.13	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1350	2.31	158538	50256	1	100	3.15	1023	105	1939.42	2243.63	1939.42	0.0002	49.6	96.2	100	100	90	18.55	104.6	34.87	0	1069.21	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1193	2.18	26458	9243	1	100	2.86	1023	105	1358.59	1542.88	1358.59	0.0001	0	99.6	100	100	90	14.25	59.7	19.9	0	1063.71	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3043	2.27	117668	38616	11	68.6	3.05	1825	121	1667.42	2115.87	1667.42	0	0	98	100	96	90	13.86	79.7	26.57	0	1055.6	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1280.12	1557.77	1280.12	0.146	0	94	100	96	90	13.41	29.9	9.97	0	1072.06	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	687	2.17	17211	5999	1	96.97	2.87	1025	106	1218.95	1424.74	1218.95	0.0001	0	100	100	100	90	14.6	29.9	9.97	0	1067.74	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1361	2.23	76585	29349	1	100	2.61	1023	105	1629.03	1852.75	1629.03	0.0001	0	99	100	100	90	18.78	149.4	49.8	0	1070.95	0	-0.006	11	677	217	57	686.46	10853.47
