framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.83	1893.1	1667.83	0.0001	24.3	98.6	100	100	90	17.64	119.5	39.83	0	1091.45	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6983	2.4	235945	71051	1	92.17	3.32	5899	104	1803.29	2473.94	1803.29	0.0001	19	96	100	100	90	13	119.6	39.87	0	1067.29	0	-0.009	13	888	489	89	604.48	30872.93
jquery	True	1152	2.26	100009	34722	1	99.5	2.88	1587	118	1834.31	2017.06	1834.31	0.1459	0	92	100	99.2	90	12.71	119.5	20.75	0	1072.73	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	729	2.21	59808	15719	1	98.81	3.8	1558	118	1546.76	1851.84	1546.76	0.055	2.2	99	96	100	90	12.33	114.5	38.17	0	1070.27	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	21.85	169.3	48.5	0	1065.59	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	735	2.18	27622	10088	1	100	2.74	1024	104	1359.78	1664.67	1359.78	0.0001	0	99.8	100	100	90	13.2	89.5	29.83	0	1064.61	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1225	2.25	91158	34628	13	100	2.63	1573	120	1416.48	2126.13	1416.48	0.6123	0	83.8	96	100	90	14.64	114.6	38.2	0	1083.65	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1251	2.31	158538	50256	1	100	3.15	1024	105	1938.79	2243.09	1938.79	0.0002	52	96	100	100	90	12.84	129.3	43.1	0	1076.71	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1085	2.18	26458	9243	1	100	2.86	1570	119	1385.91	1539.66	1385.91	0.0001	0	100	100	100	90	13.94	129.4	43.13	0	1074.31	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2899	2.27	117668	38611	11	68.6	3.05	1025	104	1668.61	2086.86	1668.61	0	0	98.2	100	96	90	12.4	119.3	39.77	0	1064.52	0	-0.007	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1274.51	1539.68	1274.51	0.146	0	94	100	96	90	14.23	119.5	39.83	0	1059.12	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	635	2.17	17211	5999	1	96.97	2.87	1026	104	1212.3	1395.45	1212.3	0.0001	0	100	100	100	90	18.16	94.5	31.5	0	1064.13	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1335	2.23	76585	29349	1	100	2.61	1566	118	1629.02	1853.93	1629.02	0.0001	0	99	100	100	90	16.91	114.4	38.13	0	1072.14	0	-0.009	11	677	217	57	686.46	10853.47
