framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1796.46	2057.24	1796.46	0.0002	30	98.2	100	100	90	17.72	94.6	31.53	0	1404.72	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	6712	2.32	158642	51430	1	100	3.08	5705	104	1959.26	2321.08	1959.26	0.0001	12.4	97	100	100	90	25.97	84.4	15.73	0	1364.5	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1482	2.17	11475	3814	1	100	3.01	2490	110	1209.9	1509.9	1209.9	0.0001	0	100	100	100	90	27.57	114.4	19.9	0	1395.1	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	995	2.19	32881	9964	1	98.43	3.3	1021	106	1542.94	1698.11	1542.94	0.0001	3.6	99	100	100	90	18.79	109.4	19.07	0	1463.1	0	-0.012	13	713	452	91	678.96	24340.98
jquery	True	1238	2.26	100009	34722	1	99.5	2.88	1033	108	1834.36	2027.44	1834.36	0.1459	0.3	92	100	99.2	90	19.24	59.7	19.9	0	1405.54	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	768	2.21	59808	15719	1	98.81	3.8	1024	105	1552	1857.9	1552	0.055	9.4	99	96	100	90	14.46	74.7	24.9	0	1414.68	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1284.05	1703.44	1284.05	0.0001	0	99.8	100	100	100	13.03	49.8	9.13	0	1410.08	0	-0.005	4	321	234	67	154.88	17543.75
octane	True	2124	2.3	148231	46596	1	100	3.18	1022	106	2001.65	2265.08	2001.65	0.0002	1	97	100	100	90	18.23	129.3	43.1	0	1394.89	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	766	2.18	27622	10088	1	100	2.74	1023	105	1362.66	1670.89	1362.66	0.0001	0	99.6	100	100	90	27.68	134.2	44.73	0	1412.97	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1290	2.25	91158	34628	13	100	2.63	1032	107	1434.02	2130.26	1434.02	0.8055	0	79	96	100	90	19.07	79.6	26.53	0	1418.83	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1350	2.31	158538	50256	1	100	3.15	1023	105	1952.89	2258.03	1952.89	0.0002	74.4	95.2	100	100	90	19.07	139.2	46.4	0	1385.08	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1117	2.18	26458	9243	1	100	2.86	1023	106	1370.92	1556.79	1370.92	0.0001	0	99.6	100	100	90	17.75	104.5	34.83	0	1394.92	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3057	2.27	117670	38611	11	68.6	3.05	1956	124	1671.75	2122.49	1671.75	0	0	98	100	96	90	19.55	104.5	34.83	0	1372.32	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.65	1558.27	1250.65	0.146	0	94	100	96	90	19.4	104.4	18.23	0	1410.11	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	699	2.17	17211	5999	1	96.97	2.87	1025	105	1221.9	1432.28	1221.9	0.0001	0	100	100	100	90	17.16	129.2	43.07	0	1386.73	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1424	2.23	76585	29349	1	100	2.61	1023	105	1656.88	1854.72	1656.88	0.0001	0	99	100	100	90	18.7	99.6	33.2	0	1424.62	0	-0.003	11	677	217	57	686.46	10853.47
