framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1761.22	1886.32	1761.22	0.0002	29	98.4	100	100	90	17.4	74.6	24.87	0	1106.57	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6396	2.36	186649	58506	1	90.1	3.19	5483	104	1661.71	2128.57	1661.71	0.0001	4.4	98.2	100	100	90	13.36	129.3	22.38	0	1069.33	0	-0.009	13	764	410	78	634.94	26701.75
astro	True	1386	2.17	11475	3814	1	100	3.01	2286	109	1209.84	1509.84	1209.84	0.0001	0	100	100	100	90	13.34	89.6	29.87	0	1084.67	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	932	2.19	32881	9964	1	98.43	3.3	1021	105	1540.56	1696.14	1540.56	0.0001	6.8	99	100	100	90	14.05	119.5	39.83	0	1096.71	0	-0.008	13	713	452	91	678.96	24340.98
jquery	True	1140	2.26	100009	34722	1	99.5	2.88	1034	107	1808.14	1996.9	1808.14	0.1459	0.4	92.2	100	99.2	90	13.55	134.5	44.83	0	1091.66	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	736	2.21	59808	15719	1	98.81	3.8	1022	104	1555.89	1825.06	1555.89	0.055	2	99	96	100	90	14.05	124.5	41.5	0	1079.53	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	23.57	164.4	47.28	0	1090.11	44.8	0	4	321	234	67	154.88	17543.75
preact	True	732	2.18	27622	10088	1	100	2.74	1022	104	1360.17	1666.95	1360.17	0.0001	0	99.8	100	100	90	13.16	129.4	43.13	0	1057.96	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1223	2.25	91158	34628	13	100	2.63	1030	106	1432.41	2125.08	1432.41	0.9993	0	74	96	100	90	14.87	114.6	38.2	0	1083.76	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1260	2.31	158538	50256	1	100	3.15	1022	105	1939.79	2244.39	1939.79	0.0002	46.5	96.2	100	100	90	13.29	109.5	36.5	0	1067.69	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1093	2.18	26458	9243	1	100	2.86	1023	105	1358.45	1542.37	1358.45	0.0001	0	99.8	100	100	90	13.34	99.6	33.2	0	1071.77	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2854	2.27	117668	38609	11	68.6	3.05	1703	120	1668.76	2058.11	1668.76	0	0	98	100	96	90	13.92	129.5	43.17	0	1064	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1243.98	1544.97	1243.98	0.146	0	94	100	96	90	12.93	124.5	41.5	0	1088.83	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	639	2.17	17211	5999	1	96.97	2.87	1024	105	1214.31	1399.27	1214.31	0.0001	0	100	100	100	90	13.81	104.5	34.83	0	1082.96	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1340	2.23	76585	29349	1	100	2.61	1023	104	1661.02	1857.33	1661.02	0.0001	0	99	100	100	90	14.88	124.5	41.5	0	1076.74	0	-0.008	11	677	217	57	686.46	10853.47
