framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1778.21	2037.71	1778.21	0.0002	23.97	98.2	100	100	90	16.46	64.7	21.57	0	1080.49	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	6640	2.36	193581	61947	3	90.45	3.12	5490	104	1758.92	2313.67	1758.92	0.0001	7.4	97	100	100	90	12.78	64.7	11.62	0	1067.2	0	-0.006	13	859	484	89	616.31	29894.72
astro	True	1416	2.17	11475	3814	1	100	3.01	2293	109	1212.44	1512.44	1212.44	0.0001	0	100	100	100	90	14.48	49.8	16.6	0	1075.45	0	-0.007	4	546	372	73	159.38	18153.98
jquery	True	1186	2.26	100009	34722	1	99.5	2.88	1035	107	1837.88	2023.62	1837.88	0.1459	0	92	100	99.2	90	12.11	64.8	21.6	0	1066.41	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	753	2.21	59808	15719	1	98.81	3.8	1023	105	1549.05	1854.67	1549.05	0.055	2.8	99	96	100	90	13.02	64.7	21.57	0	1077.79	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.76	124.6	48.93	0	1059.16	49.6	-0.002	4	321	234	67	154.88	17543.75
preact	True	742	2.18	27622	10088	1	100	2.74	1023	105	1362.08	1671.51	1362.08	0.0001	0	99.6	100	100	90	14.02	64.8	11.63	0	1065.39	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1031	107	1417.9	2126.04	1417.9	1.0075	0	74	96	100	90	13.77	74.7	24.9	0	1084.4	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1300	2.31	158538	50256	1	100	3.15	1023	105	1941.06	2245.99	1941.06	0.0002	57	96	100	100	90	16.89	79.3	26.43	0	1066.47	0	-0.019	13	762	438	90	634.69	24213.69
solid	True	1096	2.18	26458	9243	1	100	2.86	1023	105	1353.9	1544.65	1353.9	0.0001	0	99.8	100	100	90	14.01	74.7	24.9	0	1069.36	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2985	2.27	117670	38612	11	68.6	3.05	1735	121	1671.82	2091.18	1671.82	0	0	98.2	100	96	90	13.73	64.7	21.57	0	1050.7	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1239.8	1544.86	1239.8	0.146	0	94	100	96	90	12.78	69.8	23.27	0	1062.3	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	668	2.17	17211	5999	1	96.97	2.87	1023	105	1215.39	1402.48	1215.39	0.0001	0	100	100	100	90	14.78	54.8	18.27	0	1071.6	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1356	2.23	76585	29349	1	100	2.61	1023	104	1658.97	1852.85	1658.97	0.0001	0	99	100	100	90	12.43	54.7	18.23	0	1080.44	0	-0.007	11	677	217	57	686.46	10853.47
