framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1764.67	2022.96	1764.67	0.0001	23.6	98.2	100	100	90	16.71	124.3	41.43	0	1270.96	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	3268	2.31	151436	49282	1	100	3.07	3449	105	1959.69	2320.14	1959.69	0.0001	6	97	100	100	90	19.6	119.3	39.77	0	1254.1	0	-0.014	13	761	422	88	634.61	27287.05
astro	True	1309	2.17	11475	3814	1	100	3.01	2284	109	1209.16	1509.16	1209.16	0.0002	0	100	100	100	90	15.04	124.4	41.47	0	1253.46	0	-0.011	4	546	372	73	159.38	18153.98
geajs	True	923	2.19	32881	9964	1	98.43	3.3	1020	106	1488.58	1705.38	1488.58	0.0001	1.6	99	100	100	90	15.22	134.5	23.25	0	1251.2	0	-0.007	13	713	452	91	678.96	24340.98
jquery	True	1102	2.26	100009	34722	1	99.5	2.88	1032	107	1839.81	2021.22	1839.81	0.1459	0	92	100	99.2	90	17.61	124.5	21.58	0	1245.99	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	704	2.21	59808	15719	1	98.81	3.8	1022	105	1550.51	1854.46	1550.51	0.055	1	99	96	100	90	14.8	134.4	23.23	0	1239.48	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.29	1718.56	1214.29	0.0002	0	99.8	100	100	100	15.61	119.4	39.8	0	1244.34	0	-0.011	4	321	234	67	154.88	17543.75
octane	True	1968	2.3	148231	46596	1	100	3.18	1020	105	1945.74	2267.61	1945.74	0.0002	0	97	100	100	90	15.25	119.5	39.83	0	1253	0	-0.015	12	741	421	89	579.82	24098.68
preact	True	708	2.18	27622	10088	1	100	2.74	1022	105	1360.89	1668.63	1360.89	0.0001	0	99.6	100	100	90	17.68	114.5	38.17	0	1245.5	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1173	2.25	91158	34628	13	100	2.63	1029	107	1387.03	2123.8	1387.03	0.7874	0	79	96	100	90	20.73	119.4	39.8	0	1257.23	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1191	2.31	158538	50256	1	100	3.15	1022	105	1945.23	2251.15	1945.23	0.0002	100.2	94.6	100	100	90	17.08	119.5	20.75	0	1242.45	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1056	2.18	26458	9243	1	100	2.86	1022	105	1395.69	1550.44	1395.69	0.0001	0	99.2	100	100	90	22.32	119.5	14.39	0	1238.68	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2743	2.27	117670	38608	11	68.6	3.05	1663	122	1664.78	2024.94	1664.78	0	0	98.6	100	96	90	16.4	129.4	43.13	0	1235.54	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1253.09	1554.18	1253.09	0.146	0	94	100	96	90	18.46	114.4	19.9	0	1258.25	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	634	2.17	17211	5999	1	96.97	2.87	1023	105	1212.39	1402.19	1212.39	0.0001	0	100	100	100	90	18.02	114.5	38.17	0	1238.3	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1256	2.23	76585	29349	1	100	2.61	1022	105	1659.99	1860.78	1659.99	0.0001	0	99	100	100	90	15.35	119.5	20.75	0	1259.84	0	-0.008	11	677	217	57	686.46	10853.47
