framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.33	2024.55	1767.33	0.0002	24.8	98.2	100	100	90	14.62	119.5	39.83	0	1382.29	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6389	2.32	158642	51430	1	100	3.08	5492	104	1958.31	2317.07	1958.31	0.0001	6.8	97	100	100	90	26.74	134.1	16.01	0	1417.47	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1415	2.17	11475	3814	1	100	3.01	2296	109	1211.93	1511.93	1211.93	0.0002	0	100	100	100	90	15.28	124.3	41.43	0	1385.32	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	955	2.19	32881	9964	1	98.43	3.3	1021	105	1515.38	1702.47	1515.38	0.0001	4.6	99	100	100	90	19.63	114.5	19.92	0	1448.48	0	-0.007	13	713	452	91	678.96	24340.98
jquery	True	1163	2.26	100009	34722	1	99.5	2.88	1034	107	1839.94	2022.01	1839.94	0.1459	0	92	100	99.2	90	16.99	129.2	43.07	0	1377.45	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	735	2.21	59808	15719	1	98.81	3.8	1022	105	1546.8	1852.2	1546.8	0.055	1.4	99	96	100	90	19.15	124.5	41.5	0	1382.52	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	30.16	188.5	53.44	0	1385.07	39.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	751	2.18	27622	10088	1	100	2.74	1023	105	1359.07	1663.61	1359.07	0.0001	0	99.8	100	100	90	18.77	114.4	38.13	0	1374.08	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1226	2.25	91158	34628	13	100	2.63	1032	106	1417.97	2126.59	1417.97	0.6038	0	84	96	100	90	19.08	134.3	23.22	0	1383.53	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1285	2.31	158538	50256	1	100	3.15	1023	105	1940.91	2245.97	1940.91	0.0001	29.2	96.8	100	100	90	15.66	119.5	39.83	0	1376.8	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1119	2.18	26458	9243	1	100	2.86	1022	105	1391.99	1546.79	1391.99	0.0001	0	99.4	100	100	90	19.93	84.6	14.93	0	1380.62	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2909	2.27	117670	38610	11	68.6	3.05	1722	120	1668.96	2086.25	1668.96	0	0	98.2	100	96	90	19.63	129.5	43.17	0	1384.88	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.42	1536.62	1249.42	0.1461	0	94	100	96	90	19.14	129.5	22.42	0	1372.01	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	660	2.17	17211	5999	1	96.97	2.87	1024	105	1207.26	1390.69	1207.26	0.0001	0	100	100	100	90	19	89.6	29.87	0	1369.92	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1332	2.23	76585	29349	1	100	2.61	1023	105	1630.14	1858.4	1630.14	0.0001	0	99	100	100	90	13.42	119.4	20.73	0	1376.66	0	-0.004	11	677	217	57	686.46	10853.47
