framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1769.09	2033.11	1769.09	0.0002	27.52	98.2	100	100	90	18.96	129.4	43.13	0	1401.84	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6436	2.32	158642	51430	1	100	3.08	5501	104	1936.24	2292.95	1936.24	0.0001	6.6	97.2	100	100	90	22.62	99.6	33.2	0	1373.75	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1387	2.17	11475	3814	1	100	3.01	2288	109	1208.35	1508.35	1208.35	0.0001	0	100	100	100	90	15.71	134.3	23.22	0	1367.62	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	964	2.19	32881	9964	1	98.43	3.3	1020	105	1511.8	1697.3	1511.8	0.0001	4.2	99	100	100	90	15.16	134.3	44.77	0	1385.16	0	-0.015	13	713	452	91	678.96	24340.98
jquery	True	1145	2.26	100009	34722	1	99.5	2.88	1034	107	1851.06	2023.8	1851.06	0.1459	0	92	100	99.2	90	13.4	129.5	43.17	0	1383.81	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	735	2.21	59808	15719	1	98.81	3.8	1023	105	1551.08	1858.01	1551.08	0.055	0.8	99	96	100	90	14.97	114.2	19.87	0	1385.68	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.35	164.2	45.61	0	1424.24	44.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	729	2.18	27622	10088	1	100	2.74	1023	104	1360.11	1667.27	1360.11	0.0001	0	99.8	100	100	90	13.85	129.5	22.42	0	1374.66	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1216	2.25	91158	34628	13	100	2.63	1031	106	1417.31	2126.06	1417.31	1.0074	0	74	96	100	90	14.68	119.4	41.47	0	1448.75	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1261	2.31	158538	50256	1	100	3.15	1023	105	1941.97	2246.16	1941.97	0.0002	52.2	96	100	100	90	15.52	119.4	20.73	0	1377.32	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1108	2.18	26458	9243	1	100	2.86	1022	105	1391.27	1546.6	1391.27	0.0001	0	99.4	100	100	90	14.64	129.4	43.13	0	1368.22	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2888	2.27	117670	38610	11	68.6	3.05	1714	120	1669.25	2097.81	1669.25	0	0	98	100	96	90	15.02	124.4	41.47	0	1365.7	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.21	1544.27	1250.21	0.1461	0	94	100	96	90	15.92	119.5	14.39	0	1367.97	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	649	2.17	17211	5999	1	96.97	2.87	1024	105	1209.69	1392.33	1209.69	0.0001	0	100	100	100	90	13.53	104.4	18.23	0	1366.14	0	0	3	743	388	76	74.17	22895.14
vue	True	1307	2.23	76585	29349	1	100	2.61	1023	104	1657.6	1853.01	1657.6	0.0001	0	99	100	100	90	14.82	129.2	43.07	0	1382.95	0	-0.003	11	677	217	57	686.46	10853.47
