framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1860.61	2018.21	1860.61	0.0001	30	98	100	100	90	15.08	124.5	41.5	0	1098.08	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6581	2.36	193581	61947	3	90.45	3.12	5495	104	1760.87	2286.8	1760.87	0.0001	9.4	97.2	100	100	90	15.19	129.4	22.4	0	1072.43	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1152	2.26	100009	34722	1	99.5	2.88	1577	117	1831.03	2022.64	1831.03	0.1459	0.3	92	100	99.2	90	13.28	124.4	41.47	0	1066.24	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	730	2.21	59808	15719	1	98.81	3.8	1593	119	1551.81	1859.01	1551.81	0.055	0.8	99	96	100	90	13.85	94.6	31.53	0	1058	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.23	184.2	49.75	0	1072.79	39.7	-0.003	4	321	234	67	154.88	17543.75
preact	True	739	2.18	27622	10088	1	100	2.74	1024	104	1363.7	1674.06	1363.7	0.0001	0	99.4	100	100	90	12.42	114.5	38.17	0	1080.45	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1230	2.25	91158	34628	13	100	2.63	1574	119	1417.92	2126.49	1417.92	0.8073	0	79	96	100	90	15.25	104.3	34.77	0	1086.87	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1279	2.31	158538	50256	1	100	3.15	1023	105	1941.13	2246.09	1941.13	0.0002	38.9	96.6	100	100	90	14.91	119.5	39.83	0	1083.86	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1102	2.18	26458	9243	1	100	2.86	1569	120	1389.52	1544.49	1389.52	0.0001	0	99.6	100	100	90	12.93	69.7	12.45	0	1058.23	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2941	2.27	117668	38611	11	68.6	3.05	1028	104	1670.7	2092.25	1670.7	0	0	98	100	96	90	14.32	124.5	41.5	0	1055.62	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1278.02	1548.77	1278.02	0.146	0	94	100	96	90	13.27	114.5	38.17	0	1075.78	0	-0.015	3	560	426	74	71.69	20768.9
vanjs	True	645	2.17	17211	5999	1	96.97	2.87	1023	104	1212.8	1396.8	1212.8	0.0001	0	100	100	100	90	13.82	69.6	23.2	0	1070.04	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1342	2.23	76585	29349	1	100	2.61	1556	118	1659.31	1854.76	1659.31	0.0001	0	99	100	100	90	15.04	114.5	38.17	0	1062.41	0	-0.005	11	677	217	57	686.46	10853.47
