framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1765.36	1890.35	1765.36	0.0002	24.4	98.4	100	100	90	13.24	59.8	19.93	0	1091.12	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6270	2.36	193581	61947	3	90.45	3.12	5486	104	1759.48	2194.09	1759.48	0.0001	6.8	97.8	100	100	90	12.54	5	1.67	0	1083.36	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1153	2.26	100009	34722	1	99.5	2.88	1566	119	1840.05	2012.77	1840.05	0.1459	0	92	100	99.2	90	14.23	69.8	12.47	0	1076.72	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	735	2.21	59808	15719	1	98.81	3.8	1568	117	1546.47	1851.8	1546.47	0.055	0.8	99	96	100	90	14.86	59.7	19.9	0	1080.39	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.74	104.5	43.57	0	1073.11	34.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	728	2.18	27622	10088	1	100	2.74	1024	104	1363.26	1641.68	1363.26	0.0001	0	99.6	100	100	90	14.12	69.7	23.23	0	1075.52	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1229	2.25	91158	34628	13	100	2.63	1562	118	1416.74	2122.92	1416.74	0.6039	0	84	96	100	90	17.82	74.7	24.9	0	1084.7	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1229	2.31	158538	50256	1	100	3.15	1022	105	1959.47	2264.21	1959.47	0.0002	0	97	100	100	90	14.57	64.7	21.57	0	1077.12	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1076	2.18	26458	9243	1	100	2.86	1555	120	1335.89	1550.03	1335.89	0.0001	0	100	100	100	90	13.34	49.7	16.57	0	1070.75	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2859	2.27	117670	38609	11	68.6	3.05	1027	105	1667.12	2085.72	1667.12	0	0	98.2	100	96	90	12.7	34.9	11.63	0	1046.77	0	-0.007	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.67	1540.56	1244.67	0.146	0	94	100	96	90	14	69.8	23.27	0	1074.01	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	632	2.17	17211	5999	1	96.97	2.87	1023	104	1207.47	1387.81	1207.47	0.0001	0	100	100	100	90	13.41	59.7	19.9	0	1061.47	0	0	3	743	388	76	74.17	22895.14
vue	True	1323	2.23	76585	29349	1	100	2.61	1555	119	1629.92	1854.08	1629.92	0.0001	0	99	100	100	90	14.11	59.7	19.9	0	1067.75	0	-0.009	11	677	217	57	686.46	10853.47
