framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1471.84	1896.67	1471.84	0.0002	24.5	99	100	100	90	14.68	64.8	21.6	0	1409.8	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6415	2.32	158642	51430	1	100	3.08	5281	104	1966.93	2316.7	1966.93	0.0001	5.2	97	100	100	90	23.46	69.6	12.43	0	1390.3	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1399	2.17	11475	3814	1	100	3.01	2286	109	1210.69	1510.69	1210.69	0.0001	0	100	100	100	90	14.56	34.9	11.63	0	1386.16	0	-0.006	4	546	372	73	159.38	18153.98
geajs	True	958	2.19	32881	9964	1	98.43	3.3	1021	105	1541.53	1696.7	1541.53	0.0001	5.6	99	100	100	90	16.72	89.5	15.75	0	1385.25	0	-0.006	13	713	452	91	678.96	24340.98
jquery	True	1141	2.26	100009	34722	1	99.5	2.88	1033	107	1833.05	2023.58	1833.05	0.1459	0	92	100	99.2	90	13.57	34.8	11.6	0	1381.78	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	723	2.21	59808	15719	1	98.81	3.8	1022	104	1548.84	1854.66	1548.84	0.055	2	99	96	100	90	13.4	59.8	10.8	0	1376.62	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1214.28	1705.25	1214.28	0.0001	0	100	100	100	100	14.95	64.7	21.57	0	1377.35	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	2001	2.3	148231	46596	1	100	3.18	1021	105	2000.27	2264.5	2000.27	0.0002	0	97	100	100	90	19.5	69.7	23.23	0	1393.61	0	-0.008	12	741	421	89	579.82	24098.68
preact	True	750	2.18	27622	10088	1	100	2.74	1022	105	1360.88	1668.22	1360.88	0.0001	0	99.8	100	100	90	14.89	39.8	7.47	0	1370.58	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1209	2.25	91158	34628	13	100	2.63	1031	107	1416.99	2126.1	1416.99	1.0074	0	74	96	100	90	19.63	94.5	31.5	0	1383.96	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1236	2.31	158538	50256	1	100	3.15	1023	105	1941.25	2245.77	1941.25	0.0001	39.2	96.6	100	100	90	15.25	64.8	21.6	0	1376.42	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1101	2.18	26458	9243	1	100	2.86	1023	105	1389.5	1543.95	1389.5	0.0001	0	99.8	100	100	90	15	59.7	19.9	0	1385.98	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2842	2.27	117668	38612	11	68.6	3.05	1690	121	1679.34	2070.51	1679.34	0	0	98.2	100	96	90	15.43	39.8	13.27	0	1368.95	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1277.13	1548.97	1277.13	0.146	0	94	100	96	90	15.13	54.8	18.27	0	1395.04	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	639	2.17	17211	5999	1	96.97	2.87	1024	105	1213.01	1396.91	1213.01	0.0001	0	100	100	100	90	15.16	34.8	11.6	0	1381.25	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1282	2.23	76585	29349	1	100	2.61	1023	104	1658.48	1855.52	1658.48	0.0001	0	99	100	100	90	21.62	74.4	24.8	0	1391.31	0	-0.003	11	677	217	57	686.46	10853.47
