framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1761.46	1888.38	1761.46	0.0002	24.8	98.4	100	100	90	13.97	144.4	48.13	0	1077.63	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6391	2.36	186649	58506	1	90.1	3.19	5482	104	1654.06	2159.48	1654.06	0.0001	5	98	100	100	90	18.29	124.5	41.5	0	1070.86	0	-0.008	13	764	410	78	634.94	26701.75
astro	True	1415	2.17	11475	3814	1	100	3.01	2288	109	1210.85	1510.85	1210.85	0.0001	0	100	100	100	90	18.89	109.1	36.37	0	1062.61	0	-0.007	4	546	372	73	159.38	18153.98
geajs	True	960	2.19	32881	9964	1	98.43	3.3	1021	106	1542.08	1698.53	1542.08	0.0001	11.4	99	100	100	90	18.07	124.4	41.47	0	1081.85	0	-0.008	13	713	452	91	678.96	24340.98
jquery	True	1163	2.26	100009	34722	1	99.5	2.88	1033	107	1821.37	2020.2	1821.37	0.1459	0	92.2	100	99.2	90	14.65	129.5	43.17	0	1085.22	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	732	2.21	59808	15719	1	98.81	3.8	1023	105	1548.35	1854.22	1548.35	0.055	0.6	99	96	100	90	18.83	124.6	41.53	0	1068.48	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.65	193.9	50.17	0	1069.37	44.8	-0.005	4	321	234	67	154.88	17543.75
preact	True	746	2.18	27622	10088	1	100	2.74	1023	105	1365.17	1646.45	1365.17	0.0001	0	99.6	100	100	90	18.23	139.3	46.43	0	1072.45	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1227	2.25	91158	34628	13	100	2.63	1031	107	1417.14	2125.06	1417.14	0.8056	0	79	96	100	90	18.51	124.5	41.5	0	1070.04	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1250	2.31	158538	50256	1	100	3.15	1023	105	1942.27	2246.5	1942.27	0.0002	43.4	96.4	100	100	90	13.86	114.4	38.13	0	1067.08	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1097	2.18	26458	9243	1	100	2.86	1024	105	1387.83	1542.05	1387.83	0.0001	0	99.8	100	100	90	18.19	119.4	20.73	0	1071.04	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2903	2.27	117670	38613	11	68.6	3.05	1699	120	1668.39	2087.63	1668.39	0	0	98.2	100	96	90	13.72	129.6	43.2	0	1058.21	0	0.009	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.07	1545.09	1249.07	0.1461	0	94	100	96	90	18.49	124.1	41.37	0	1075.04	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	655	2.17	17211	5999	1	96.97	2.87	1024	105	1209.94	1391.72	1209.94	0.0001	0	100	100	100	90	16.22	129.4	43.13	0	1054.88	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1332	2.23	76585	29349	1	100	2.61	1023	105	1629.77	1854.26	1629.77	0.0001	0	99	100	100	90	14.23	124.5	41.5	0	1066.97	0	-0.005	11	677	217	57	686.46	10853.47
