framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1745.5	2005.99	1745.5	0.0002	5.8	98.2	100	100	90	19.27	144.6	48.2	0	1089.24	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	5364	2.4	235945	71051	1	92.17	3.32	4263	104	1803.19	2426.78	1803.19	0.0001	2	96.2	100	100	90	16.98	84.7	28.23	0	1073.12	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	862	2.26	100009	34722	1	99.5	2.88	1418	115	1823.05	2004.98	1823.05	0.1459	0	92	100	99.2	90	17.15	119.6	39.87	0	1079.88	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	558	2.21	59808	15719	1	98.81	3.8	1437	113	1536.63	1840.25	1536.63	0.055	0	99	96	100	90	19.46	119.6	39.87	0	1071.95	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	28.41	164.3	44	0	1074.98	34.9	-0.004	4	321	234	67	154.88	17543.75
preact	True	559	2.18	27622	10088	1	100	2.74	1018	103	1357.44	1661.15	1357.44	0.0001	0	100	100	100	90	17.03	114.6	38.2	0	1061.48	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	942	2.25	91158	34628	13	100	2.63	1414	114	1415.99	2120.58	1415.99	0.8012	0	79	96	100	90	17.09	89.6	29.87	0	1075	0	-0.007	16	754	415	83	861.8	26425.59
react	True	960	2.31	158538	50256	1	100	3.15	1018	104	1958.41	2262.61	1958.41	0.0001	0	97	100	100	90	17.54	104.6	34.87	0	1076.54	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	858	2.18	26458	9243	1	100	2.86	1394	115	1382.86	1536.9	1382.86	0.0001	0	100	100	100	90	17.89	109.6	36.53	0	1076.31	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2193	2.27	117668	38611	11	68.6	3.05	1019	104	1662.6	2111.54	1662.6	0	0	98	100	96	90	16.48	89.7	29.9	0	1041.25	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1233.27	1522.63	1233.27	0.146	0	94	100	96	90	17.35	129.5	43.17	0	1075.12	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	497	2.17	17211	5999	1	96.97	2.87	1018	103	1208.51	1385.56	1208.51	0	0	100	100	100	90	19.62	129.6	43.2	0	1053.75	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1039	2.23	76585	29349	1	100	2.61	1428	116	1658.74	1844.91	1658.74	0.0001	0	99	100	100	90	19.08	124.6	41.53	0	1072.06	0	-0.006	11	677	217	57	686.46	10853.47
