framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1860.57	2018.93	1860.57	0.0002	26.4	98	100	100	90	14.38	89.6	29.87	0	1076.84	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6948	2.4	235945	71051	1	92.17	3.32	5698	104	1803.19	2474.19	1803.19	0.0001	19.4	96	100	100	90	14.5	124.4	41.47	0	1053.1	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1142	2.26	100009	34722	1	99.5	2.88	1554	119	1833.16	2025.24	1833.16	0.1459	0	92	100	99.2	90	13.37	74.7	13.28	0	1048.46	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	744	2.21	59808	15719	1	98.81	3.8	1576	119	1544.56	1848.65	1544.56	0.055	3	99	96	100	90	12.98	89.7	29.9	0	1048.65	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.01	144.2	47.67	0	1050.66	44.7	0.001	4	321	234	67	154.88	17543.75
preact	True	739	2.18	27622	10088	1	100	2.74	1024	105	1360.75	1666.13	1360.75	0.0001	0	99.8	100	100	90	13.43	114.6	19.93	0	1051.25	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1215	2.25	91158	34628	13	100	2.63	1537	119	1417.48	2124.85	1417.48	1.0089	0	74	96	100	90	16.75	104.6	34.87	0	1068.56	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1266	2.31	158538	50256	1	100	3.15	1023	105	1945.01	2250.42	1945.01	0.0002	63.2	95.8	100	100	90	14.62	74.7	24.9	0	1045.9	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1098	2.18	26458	9243	1	100	2.86	1560	118	1389.32	1544.39	1389.32	0.0001	0	99.6	100	100	90	13.68	119.5	20.75	0	1057.75	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2904	2.27	117668	38612	11	68.6	3.05	1025	105	1665.28	2114.76	1665.28	0	0.6	98	100	96	90	14.66	89.7	29.9	0	1029.67	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.43	1539.84	1241.43	0.146	0	94	100	96	90	12.77	69.7	23.23	0	1055.21	0	-0.016	3	560	426	74	71.69	20768.9
vanjs	True	637	2.17	17211	5999	1	96.97	2.87	1024	104	1213.6	1397.2	1213.6	0.0001	0	100	100	100	90	14.49	94.7	31.57	0	1041.46	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1315	2.23	76585	29349	1	100	2.61	1549	119	1657.82	1852.93	1657.82	0.0001	0	99	100	100	90	13.29	89.7	29.9	0	1040.3	0	-0.007	11	677	217	57	686.46	10853.47
