framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1757.14	2011.19	1757.14	0.0002	28	98.2	100	100	90	13.25	139.4	46.47	0	1404.64	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6315	2.32	158642	51430	1	100	3.08	5292	104	1965.34	2313.91	1965.34	0.0001	6.6	97	100	100	90	23.58	119.5	39.83	0	1383.34	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1358	2.17	11475	3814	1	100	3.01	2288	109	1209.04	1509.04	1209.04	0.0001	0	100	100	100	90	14.8	129.5	15.5	0	1407.3	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	942	2.19	32881	9964	1	98.43	3.3	1021	105	1540.08	1694.22	1540.08	0.0001	6.4	99	100	100	90	13.85	114.5	38.17	0	1389.55	0	-0.006	13	713	452	91	678.96	24340.98
jquery	True	1146	2.26	100009	34722	1	99.5	2.88	1032	107	1835.44	2026.87	1835.44	0.1459	0.1	92	100	99.2	90	14.9	129	43	0	1376.95	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	733	2.21	59808	15719	1	98.81	3.8	1023	105	1559.16	1829.06	1559.16	0.055	2.8	99	96	100	90	14.82	89.6	29.87	0	1398.52	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.83	169.1	48.48	0	1401.04	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	736	2.18	27622	10088	1	100	2.74	1023	105	1360.21	1665.31	1360.21	0.0001	0	99.6	100	100	90	15.12	119.4	20.73	0	1385.87	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1211	2.25	91158	34628	13	100	2.63	1032	106	1432.11	2123.38	1432.11	0.6056	0	84	96	100	90	14	119.5	39.83	0	1437.57	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1255	2.31	158538	50256	1	100	3.15	1023	105	1940.28	2244.42	1940.28	0.0001	97.7	94.6	100	100	90	15.09	104.6	34.87	0	1430.8	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	1114	2.18	26458	9243	1	100	2.86	1022	105	1368.97	1553.75	1368.97	0.0001	0	99.8	100	100	90	19.81	134.5	44.83	0	1374.27	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2866	2.27	117670	38611	11	68.6	3.05	1718	120	1669.66	2056.85	1669.66	0	5.2	98.4	100	96	90	14.67	119.2	39.73	0	1358.27	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1242.25	1530.47	1242.25	0.146	0	94	100	96	90	15.99	114.3	19.88	0	1404.71	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	654	2.17	17211	5999	1	96.97	2.87	1023	105	1208.56	1390.64	1208.56	0.0001	0	100	100	100	90	15.38	129.4	15.49	0	1381.63	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1330	2.23	76585	29349	1	100	2.61	1022	104	1658.45	1854.67	1658.45	0.0001	0	99	100	100	90	17.5	124.5	21.58	0	1387.61	0	-0.003	11	677	217	57	686.46	10853.47
