framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1684.56	2049.06	1684.56	0.0002	28.8	98.4	100	100	90	18.52	154.1	26.52	0	1077.39	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6235	2.36	193581	61947	3	90.45	3.12	5283	104	1765.47	2229.45	1765.47	0.0001	13.6	97.6	100	100	90	18.89	124.5	21.58	0	1084.11	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1127	2.26	100009	34722	1	99.5	2.88	1556	119	1837.58	2020.57	1837.58	0.1459	0	92	100	99.2	90	16.88	124.5	21.58	0	1079.36	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	718	2.21	59808	15719	1	98.81	3.8	1546	118	1557.86	1827.45	1557.86	0.055	4	99	96	100	90	18.39	134.5	44.83	0	1064.34	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.37	169.3	56.01	0	1052.23	49.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	731	2.18	27622	10088	1	100	2.74	1024	104	1361.31	1670.86	1361.31	0.0001	0	99.6	100	100	90	16.84	119.4	39.8	0	1068.11	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1173	2.25	91158	34628	13	100	2.63	1551	118	1417.4	2124.86	1417.4	0.8103	7.26	79	96	100	90	17.02	109.4	36.47	0	1071.71	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1266	2.31	158538	50256	1	100	3.15	1022	105	1934.3	2238.7	1934.3	0.0001	292.25	91.2	100	100	90	15	124.4	41.47	0	1067.66	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1065	2.18	26458	9243	1	100	2.86	1548	119	1388.2	1541.71	1388.2	0.0001	0	99.8	100	100	90	18.62	119.5	20.75	0	1079.77	0	-0.009	12	786	458	98	581.44	26202.05
svelte	True	2869	2.27	117668	38612	11	68.6	3.05	1033	104	1670.14	2118.29	1670.14	0	1.6	98	100	96	90	18.9	129.5	43.17	0	1063.23	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1307.98	1549.98	1307.98	0.146	0	94	100	96	90	19.01	129.4	43.13	0	1063.72	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	637	2.17	17211	5999	1	96.97	2.87	1023	104	1212.55	1399.42	1212.55	0.0001	0.4	100	100	100	90	19	129.4	43.13	0	1059.96	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1290	2.23	76585	29349	1	100	2.61	1549	119	1631.56	1859.13	1631.56	0.0001	0.2	99	100	100	90	17.25	129.5	43.17	0	1066.05	0	-0.007	11	677	217	57	686.46	10853.47
