framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1766.79	2026.59	1766.79	0.0002	27.8	98.2	100	100	90	14.88	129.2	43.07	0	1403.12	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6425	2.32	158642	51430	1	100	3.08	5489	104	1961.76	2319.84	1961.76	0.0001	6.4	97	100	100	90	27.38	139.5	24.08	0	1391.84	0	-0.002	13	764	424	88	631.62	27036.12
astro	True	1384	2.17	11475	3814	1	100	3.01	2288	109	1211.3	1511.3	1211.3	0.0001	0	100	100	100	90	13.84	109.5	36.5	0	1385.76	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	948	2.19	32881	9964	1	98.43	3.3	1021	105	1514.35	1700.43	1514.35	0.0001	4	99	100	100	90	14.14	124.3	41.43	0	1449.42	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	1158	2.26	100009	34722	1	99.5	2.88	1034	107	1840.16	2030.25	1840.16	0.1459	0	92	100	99.2	90	19.38	124.5	21.58	0	1402.01	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	723	2.21	59808	15719	1	98.81	3.8	1022	105	1547.33	1852.6	1547.33	0.055	3.6	99	96	100	90	13.61	129.5	43.17	0	1388.57	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.13	183.9	49.3	0	1391	39.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	744	2.18	27622	10088	1	100	2.74	1023	105	1339.85	1645.68	1339.85	0.0001	0	99.6	100	100	90	15.65	119.5	39.83	0	1388.19	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1258	2.25	91158	34628	13	100	2.63	1032	107	1418.61	2127.48	1418.61	1.0075	0	74	96	100	90	14.38	129.5	43.17	0	1401.21	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1281	2.31	158538	50256	1	100	3.15	1023	105	1940.19	2244.69	1940.19	0.0001	48.1	96.2	100	100	90	15.34	89.4	15.73	0	1380.32	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1096	2.18	26458	9243	1	100	2.86	1022	105	1392.16	1547.45	1392.16	0.0001	0	99.4	100	100	90	14.59	124.5	21.58	0	1388.25	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2912	2.27	117668	38612	11	68.6	3.05	1710	119	1675.08	2068.8	1675.08	0	0	98.2	100	96	90	16.01	114.3	38.1	0	1381.12	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.47	1545.5	1248.47	0.1461	0	94	100	96	90	13.67	124	23.17	0	1393.51	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	664	2.17	17211	5999	1	96.97	2.87	1022	105	1211.62	1396.83	1211.62	0.0001	0	100	100	100	90	16.64	139.1	46.37	0	1411.11	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1325	2.23	76585	29349	1	100	2.61	1023	104	1658.52	1857.38	1658.52	0.0001	0	99	100	100	90	14.98	124.5	41.5	0	1382.89	0	-0.003	11	677	217	57	686.46	10853.47
