framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1570.65	1894.9	1570.65	0.0003	20.3	98.8	100	100	90	14.2	64.8	23.27	0	1390.41	0	-0.022	3	444	299	68	83.56	13776.09
angular	True	6388	2.32	158642	51430	1	100	3.08	5487	104	1934.46	2290.39	1934.46	0.0001	5	97.2	100	100	90	23.77	74.7	24.9	0	1374.68	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1398	2.17	11475	3814	1	100	3.01	2497	110	1177.33	1507.33	1177.33	0.0001	0	100	100	100	90	12.49	54.8	18.27	0	1361.95	0	-0.009	4	546	372	73	159.38	18153.98
geajs	True	945	2.19	32881	9964	1	98.43	3.3	1022	106	1544.97	1702.05	1544.97	0.0001	4.6	99	100	100	90	14.61	69.8	23.27	0	1381.54	0	-0.005	13	713	452	91	678.96	24340.98
jquery	True	1134	2.26	100009	34722	1	99.5	2.88	1033	107	1835.15	2024.52	1835.15	0.1459	0	92	100	99.2	90	14.84	69.6	24.87	0	1367.37	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	732	2.21	59808	15719	1	98.81	3.8	1023	105	1549.1	1855.34	1549.1	0.055	1	99	96	100	90	13.11	59.8	19.93	0	1378	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.44	99.5	45.18	0	1368.58	44.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	741	2.18	27622	10088	1	100	2.74	1022	105	1363.54	1675.91	1363.54	0.0001	0	99.4	100	100	90	13.71	69.6	23.2	0	1374.27	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1233	2.25	91158	34628	13	100	2.63	1031	107	1431.32	2123.15	1431.32	1.0074	0	74	96	100	90	19.22	84.7	28.23	0	1361.91	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1257	2.31	158538	50256	1	100	3.15	1022	105	1942.1	2247.75	1942.1	0.0002	102.7	94.6	100	100	90	18.79	79.7	26.57	0	1388.97	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1090	2.18	26458	9243	1	100	2.86	1022	105	1390.1	1544.84	1390.1	0.0001	0	99.4	100	100	90	17.03	59.7	7.74	0	1378.89	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2898	2.27	117670	38612	11	68.6	3.05	1731	119	1669.93	2101	1669.93	0	0	98.2	100	96	90	14.39	74.8	24.93	0	1377.19	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.02	1536.89	1244.02	0.146	0	94	100	96	90	14.82	39.8	13.27	0	1433.62	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	633	2.17	17211	5999	1	96.97	2.87	1023	105	1209.96	1393.14	1209.96	0.0001	0	100	100	100	90	15.65	69.8	23.27	0	1362.05	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1299	2.23	76585	29349	1	100	2.61	1021	105	1658.65	1853.78	1658.65	0.0001	0.2	99	100	100	90	14.8	64.8	21.6	0	1380.57	0	-0.004	11	677	217	57	686.46	10853.47
