framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1662.77	2024.46	1662.77	0.0002	25.8	98.4	100	100	90	16.98	129.4	43.13	0	1084.21	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6636	2.36	193581	61947	3	90.45	3.12	5493	104	1763.51	2285.66	1763.51	0.0001	9.4	97.2	100	100	90	13.64	124.4	41.47	0	1074.74	0	-0.014	13	859	484	89	616.31	29894.72
jquery	True	1161	2.26	100009	34722	1	99.5	2.88	1566	119	1823.17	2022.56	1823.17	0.1459	0	92	100	99.2	90	17.87	129.5	43.17	0	1065.37	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	736	2.21	59808	15719	1	98.81	3.8	1565	118	1544.7	1848.85	1544.7	0.055	1	99	96	100	90	17.82	144.4	48.13	0	1081.56	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.77	204.3	54.34	0	1061.22	49.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	755	2.18	27622	10088	1	100	2.74	1024	104	1361.03	1666.55	1361.03	0.0001	0	99.6	100	100	90	16.8	109.6	36.53	0	1069.43	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1253	2.25	91158	34628	13	100	2.63	1553	118	1401.99	2125.32	1401.99	0.8073	0	79	96	100	90	18.05	139.3	46.43	0	1074.29	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1270	2.31	158538	50256	1	100	3.15	1023	105	1940.59	2245.39	1940.59	0.0002	35.6	96.6	100	100	90	16.77	134.3	44.77	0	1077.37	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1121	2.18	26458	9243	1	100	2.86	1557	118	1356.8	1540.71	1356.8	0.0001	0	100	100	100	90	18.3	133.9	23.15	0	1075.46	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2895	2.27	117668	38609	11	68.6	3.05	1036	104	1668.4	2117.76	1668.4	0	0	98	100	96	90	16.63	119.4	39.8	0	1050.7	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.1	1542.93	1247.1	0.146	0	94	100	96	90	16.81	124.4	41.47	0	1071.54	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	654	2.17	17211	5999	1	96.97	2.87	1024	104	1211.73	1394.79	1211.73	0.0001	0	100	100	100	90	16.45	129.4	43.13	0	1047.87	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1340	2.23	76585	29349	1	100	2.61	1583	119	1629.31	1854.77	1629.31	0.0001	0	99	100	100	90	17.92	139.4	46.47	0	1074.7	0	-0.007	11	677	217	57	686.46	10853.47
