framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1778.38	2042.21	1778.38	0.0002	30	98.2	100	100	90	14.57	133.6	44.53	0	1393.73	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6648	2.32	158642	51430	1	100	3.08	5696	105	1959.44	2322.96	1959.44	0.0001	12.4	97	100	100	90	24.02	154.2	51.4	0	1377.52	0	-0.002	13	764	424	88	631.62	27036.12
astro	True	1463	2.17	11475	3814	1	100	3.01	2491	111	1208.96	1508.96	1208.96	0.0001	0	100	100	100	90	15.6	129.3	43.1	0	1402.85	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	993	2.19	32881	9964	1	98.43	3.3	1021	106	1515.7	1701.55	1515.7	0.0001	6	99	100	100	90	16.96	134.5	23.25	0	1401.46	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	1215	2.26	100009	34722	1	99.5	2.88	1034	108	1848.59	2033.89	1848.59	0.1459	0	92	100	99.2	90	19.3	139.4	16.6	0	1373.6	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	765	2.21	59808	15719	1	98.81	3.8	1024	105	1558.78	1867.78	1558.78	0.055	7	99	96	100	90	15.17	119.5	39.83	0	1379.54	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1256.08	1710.41	1256.08	0.0002	0	99.8	100	100	100	15.59	124.3	21.55	0	1399.64	0	-0.005	4	321	234	67	154.88	17543.75
octane	True	2149	2.3	148231	46596	1	100	3.18	1023	106	2014.46	2268.69	2014.46	0.0002	7.6	97	100	100	90	19.24	109.5	19.08	0	1383.77	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	787	2.18	27622	10088	1	100	2.74	1023	105	1363.65	1674.57	1363.65	0.0001	0	99.4	100	100	90	13.75	114.3	38.1	0	1374.65	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1271	2.25	91158	34628	13	100	2.63	1033	107	1403.55	2128.15	1403.55	1.0341	0	74	96	100	90	13.14	129.4	43.13	0	1443.26	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1316	2.31	158538	50256	1	100	3.15	1023	105	1955.56	2262.04	1955.56	0.0001	51.9	96	100	100	90	13.25	129.4	43.13	0	1379.85	0	-0.021	13	762	438	90	634.69	24213.69
solid	True	1136	2.18	26458	9243	1	100	2.86	1023	105	1395.82	1550.84	1395.82	0.0001	0	99.4	100	100	90	13.29	114.3	19.88	0	1372.79	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3026	2.27	117668	38609	11	68.6	3.05	1915	121	1672.73	2094.88	1672.73	0	0	98	100	96	90	17.29	144.2	48.07	0	1366.17	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.79	1554.18	1251.79	0.146	0	94	100	96	90	13.41	134.1	44.7	0	1378.54	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	675	2.17	17211	5999	1	96.97	2.87	1024	105	1211.95	1400.33	1211.95	0.0001	0	100	100	100	90	12.89	119.3	14.37	0	1394.57	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1369	2.23	76585	29349	1	100	2.61	1023	105	1663.43	1865.15	1663.43	0.0001	0	99	100	100	90	15.75	124	41.33	0	1386.25	0	-0.004	11	677	217	57	686.46	10853.47
