framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1761.42	2014.88	1761.42	0.0002	22.8	98.2	100	100	90	15.12	114.5	38.17	0	1382.93	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6112	2.32	158642	51430	1	100	3.08	5287	104	1958.4	2316.4	1958.4	0.0001	6	97	100	100	90	23.6	124.6	21.6	0	1389.27	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1322	2.17	11475	3814	1	100	3.01	2286	109	1208.44	1508.44	1208.44	0.0001	0	100	100	100	90	13.57	114.3	38.1	0	1370.38	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	927	2.19	32881	9964	1	98.43	3.3	1020	106	1546.05	1703.58	1546.05	0.0001	3	99	100	100	90	14.23	119.6	39.87	0	1380.71	0	-0.015	13	713	452	91	678.96	24340.98
jquery	True	1097	2.26	100009	34722	1	99.5	2.88	1033	107	1831.36	2021.04	1831.36	0.1459	0.9	92	100	99.2	90	13.6	124.4	14.93	0	1375.14	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	708	2.21	59808	15719	1	98.81	3.8	1022	105	1550.53	1857.19	1550.53	0.055	1	99	96	100	90	13.9	104.6	18.27	0	1388.87	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.72	174.2	51.42	0	1437.04	39.8	0	4	321	234	67	154.88	17543.75
preact	True	720	2.18	27622	10088	1	100	2.74	1022	105	1363.96	1674.94	1363.96	0.0001	0	99.4	100	100	90	14.36	114.5	19.92	0	1371.33	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1186	2.25	91158	34628	13	100	2.63	1030	106	1403.73	2128.18	1403.73	0.604	0	84	96	100	90	14.53	129.5	43.17	0	1391.47	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1221	2.31	158538	50256	1	100	3.15	1022	105	1938.72	2242.78	1938.72	0.0002	78	95.2	100	100	90	14.84	119.5	20.75	0	1387.76	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1063	2.18	26458	9243	1	100	2.86	1022	105	1360.59	1544.78	1360.59	0.0001	0	99.6	100	100	90	15.75	109.5	36.5	0	1372.68	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2791	2.27	117670	38612	11	68.6	3.05	1668	120	1668.79	2056.1	1668.79	0	0	98.2	100	96	90	13.47	104.5	34.83	0	1358.79	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1275.27	1537.16	1275.27	0.146	0	94	100	96	90	15.49	119.4	39.8	0	1391.84	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	626	2.17	17211	5999	1	96.97	2.87	1023	105	1209.8	1394.3	1209.8	0.0001	0	100	100	100	90	13.92	124.5	41.5	0	1362.36	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1271	2.23	76585	29349	1	100	2.61	1022	105	1629.49	1856.03	1629.49	0.0001	0	99	100	100	90	14.71	119.6	39.87	0	1383.06	0	-0.004	11	677	217	57	686.46	10853.47
