framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1567.3	2019.51	1567.3	0.0001	31.2	98.6	100	100	90	14.04	124.5	41.5	0	1089.18	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	7187	2.4	235945	71051	1	92.17	3.32	5896	104	1803.41	2473.52	1803.41	0.0001	18.4	96	100	100	90	14.36	114.5	38.17	0	1067.44	0	-0.006	13	888	489	89	604.48	30872.93
jquery	True	1177	2.26	100009	34722	1	99.5	2.88	1557	118	1839.2	2024.8	1839.2	0.1459	0	92	100	99.2	90	14.04	84.6	28.2	0	1077.57	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	752	2.21	59808	15719	1	98.81	3.8	1573	118	1553.96	1862.13	1553.96	0.055	3.8	99	96	100	90	14.57	99.5	33.17	0	1071.02	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.1	189.1	55.13	0	1074.21	49.7	-0.004	4	321	234	67	154.88	17543.75
preact	True	789	2.18	27622	10088	1	100	2.74	1025	105	1365.01	1648.31	1365.01	0.0001	0	99.4	100	100	90	12.88	104.5	34.83	0	1081.85	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1282	2.25	91158	34628	13	100	2.63	1593	121	1432.43	2126.35	1432.43	1.0033	0	74	96	100	90	14.12	89.6	29.87	0	1073.72	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1311	2.31	158538	50256	1	100	3.15	1023	105	1939.01	2243.91	1939.01	0.0001	19.7	97	100	100	90	14.45	102.1	34.03	0	1083.88	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1169	2.18	26458	9243	1	100	2.86	1580	120	1328.98	1543.77	1328.98	0.0001	0	99.8	100	100	90	12.65	94.6	31.53	0	1055.71	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	3081	2.27	117670	38610	11	68.6	3.05	1030	105	1670.2	2090.47	1670.2	0	0	98.2	100	96	90	14.23	114.6	38.2	0	1057.95	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.13	1549.71	1248.13	0.146	0	94	100	96	90	14.6	69.5	23.17	0	1080.79	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	662	2.17	17211	5999	1	96.97	2.87	1024	104	1218.71	1424.69	1218.71	0.0001	0	100	100	100	90	14.31	119.5	39.83	0	1068.36	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1346	2.23	76585	29349	1	100	2.61	1577	120	1659.91	1856.66	1659.91	0.0001	0	99	100	100	90	14.05	104.5	34.83	0	1075.91	0	-0.009	11	677	217	57	686.46	10853.47
