framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1777.58	2035.05	1777.58	0.0002	28.21	98.2	100	100	90	18.34	119.3	39.77	0	1441.36	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6565	2.32	158642	51430	1	100	3.08	5692	105	1956.57	2313.45	1956.57	0.0001	9.2	97	100	100	90	27.54	134.3	44.77	0	1388.91	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1448	2.17	11475	3814	1	100	3.01	2309	110	1210.43	1510.43	1210.43	0.0001	0	100	100	100	90	18.81	129.3	22.38	0	1372.76	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	983	2.19	32881	9964	1	98.43	3.3	1021	105	1541.35	1696.13	1541.35	0.0001	5.8	99	100	100	90	19.05	129.4	43.13	0	1426.87	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	1166	2.26	100009	34722	1	99.5	2.88	1034	107	1840.92	2022.28	1840.92	0.1459	0	92	100	99.2	90	23.14	129.3	43.1	0	1379.2	0	-0.002	3	481	287	45	87.4	18604.14
lit	True	767	2.21	59808	15719	1	98.81	3.8	1023	105	1548.05	1852.27	1548.05	0.055	2.4	99	96	100	90	19.37	134.4	44.8	0	1369.07	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.66	168.8	48.9	0	1429.09	34.8	0	4	321	234	67	154.88	17543.75
preact	True	766	2.18	27622	10088	1	100	2.74	1023	106	1360.29	1637.33	1360.29	0.0001	0	100	100	100	90	18.2	124.4	14.93	0	1382.48	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1302	2.25	91158	34628	13	100	2.63	1031	106	1432.62	2124.97	1432.62	1.0092	0	74	96	100	90	19.64	109.5	36.5	0	1402.2	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1278	2.31	158538	50256	1	100	3.15	1024	105	1940.76	2245.35	1940.76	0.0001	49.7	96.2	100	100	90	17.82	129.4	43.13	0	1366.57	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1130	2.18	26458	9243	1	100	2.86	1023	105	1389.16	1543.25	1389.16	0.0001	0	99.8	100	100	90	13.66	119.3	39.77	0	1360.53	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2955	2.27	117670	38612	11	68.6	3.05	1799	121	1668.69	2117.98	1668.69	0	1.4	98	100	96	90	14.75	134.3	44.77	0	1367.24	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.15	1551.53	1250.15	0.146	0	94	100	96	90	19.13	124.4	41.47	0	1368.02	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	662	2.17	17211	5999	1	96.97	2.87	1024	105	1211.13	1394.69	1211.13	0.0001	0	100	100	100	90	18.29	89.5	29.83	0	1385.45	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1408	2.23	76585	29349	1	100	2.61	1024	105	1657.98	1853.98	1657.98	0.0001	0	99	100	100	90	15.75	139.2	46.4	0	1368.02	0	-0.005	11	677	217	57	686.46	10853.47
