framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1763.46	2020.56	1763.46	0.0002	21.8	98.2	100	100	90	19.05	109.6	36.53	0	1392.3	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6456	2.32	158642	51430	1	100	3.08	5500	105	1957.25	2312.67	1957.25	0.0001	2.4	97	100	100	90	27.42	104.5	34.83	0	1433.24	0	-0.002	13	764	424	88	631.62	27036.12
astro	True	1362	2.17	11475	3814	1	100	3.01	2289	109	1211.34	1511.34	1211.34	0.0001	0	100	100	100	90	17.43	114.4	38.13	0	1388.78	0	-0.006	4	546	372	73	159.38	18153.98
geajs	True	959	2.19	32881	9964	1	98.43	3.3	1020	106	1543.08	1698.83	1543.08	0.0001	3.6	99	100	100	90	18.71	114.5	38.17	0	1392.77	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	1167	2.26	100009	34722	1	99.5	2.88	1033	107	1837.86	2019.79	1837.86	0.1459	0.3	92	100	99.2	90	18.7	124.4	21.57	0	1376.5	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	739	2.21	59808	15719	1	98.81	3.8	1023	105	1548.21	1852.91	1548.21	0.055	1	99	96	100	90	18.7	104.6	18.27	0	1370.43	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.63	1699.18	1216.63	0.0002	0	100	100	100	100	25.73	139.4	46.47	0	1385.15	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	1908	2.3	148231	46596	1	100	3.18	1021	105	1999.26	2268.09	1999.26	0.0002	0	97	100	100	90	18.93	129.4	43.13	0	1386.98	0	-0.002	12	741	421	89	579.82	24098.68
preact	True	758	2.18	27622	10088	1	100	2.74	1022	105	1361.13	1670.5	1361.13	0.0001	0	99.6	100	100	90	18.78	79.7	26.57	0	1383.17	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1206	2.25	91158	34628	13	100	2.63	1031	107	1401.43	2122	1401.43	0.8056	0	79	96	100	90	18.85	114.6	38.2	0	1467.16	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1248	2.31	158538	50256	1	100	3.15	1023	105	1961.39	2267.09	1961.39	0.0001	0	97	100	100	90	16.65	144.2	24.87	0	1403.09	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1108	2.18	26458	9243	1	100	2.86	1022	105	1389.07	1542.11	1389.07	0.0001	0	100	100	100	90	18.99	114.4	38.13	0	1383.79	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2878	2.27	117668	38610	11	68.6	3.05	1730	121	1665.82	2117.02	1665.82	0	0	98	100	96	90	18.65	124.5	41.5	0	1391.89	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.39	1533.45	1248.39	0.1461	0	94	100	96	90	18.31	94.6	16.6	0	1399.92	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	647	2.17	17211	5999	1	96.97	2.87	1025	105	1212.96	1397.24	1212.96	0.0001	0	100	100	100	90	16.71	124.5	41.5	0	1383.97	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1305	2.23	76585	29349	1	100	2.61	1024	105	1657.84	1852.75	1657.84	0.0001	0	99	100	100	90	18.67	124.5	21.58	0	1382.47	0	-0.003	11	677	217	57	686.46	10853.47
