framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1780.88	2035.44	1780.88	0.0002	21.29	98.2	100	100	90	14.25	74.8	24.93	0	1086.23	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6428	2.36	186649	58506	1	90.1	3.19	5479	105	1661.45	2159.07	1661.45	0.0001	4	98	100	100	90	13.1	64.4	21.47	0	1077.29	0	-0.007	13	764	410	78	634.94	26701.75
astro	True	1372	2.17	11475	3814	1	100	3.01	2295	109	1208.78	1508.78	1208.78	0.0001	0	100	100	100	90	13.26	69.8	23.27	0	1077.68	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	956	2.19	32881	9964	1	98.43	3.3	1020	105	1513.51	1700.76	1513.51	0.0001	4	99	100	100	90	13.38	64.7	21.57	0	1074.87	0	-0.007	13	713	452	91	678.96	24340.98
jquery	True	1178	2.26	100009	34722	1	99.5	2.88	1031	107	1829.86	2020.29	1829.86	0.1459	0	92	100	99.2	90	16.64	84.5	28.17	0	1068.75	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	740	2.21	59808	15719	1	98.81	3.8	1023	105	1548.68	1855.02	1548.68	0.055	5	99	96	100	90	13.33	54.8	18.27	0	1059.44	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	15.07	104.5	45.16	0	1057.14	44.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	752	2.18	27622	10088	1	100	2.74	1023	105	1359.89	1664.84	1359.89	0.0001	0	99.8	100	100	90	17.43	79.5	26.5	0	1075.33	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1236	2.25	91158	34628	13	100	2.63	1031	107	1432.46	2125.21	1432.46	0.9931	0	74	96	100	90	13.24	64.8	11.63	0	1067.4	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1278	2.31	158538	50256	1	100	3.15	1022	105	1918.65	2223.78	1918.65	0.0002	47.8	96.4	100	100	90	16.4	54.7	18.23	0	1079.72	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1110	2.18	26458	9243	1	100	2.86	1023	105	1391.16	1546.05	1391.16	0.0001	0	99.4	100	100	90	17.34	74.7	24.9	0	1064.82	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2902	2.27	117668	38607	11	68.6	3.05	1704	121	1668.21	2095.49	1668.21	0	0	98.2	100	96	90	13.6	64.7	21.57	0	1064.11	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.19	1552.52	1251.19	0.146	0	94	100	96	90	13.51	49.8	16.6	0	1074.34	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	649	2.17	17211	5999	1	96.97	2.87	1024	105	1212.07	1395.31	1212.07	0.0001	0	100	100	100	90	12.19	59.8	19.93	0	1068.65	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1325	2.23	76585	29349	1	100	2.61	1023	105	1598.99	1854.89	1598.99	0.0001	0	99	100	100	90	13.77	44.8	14.93	0	1067.6	0	-0.006	11	677	217	57	686.46	10853.47
