framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.7	2013.2	1758.7	0.0002	22.4	98.2	100	100	90	16.84	134.5	44.83	0	1081.66	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6117	2.36	193581	61947	3	90.45	3.12	5086	104	1756.98	2280.54	1756.98	0.0001	5.4	97.2	100	100	90	18.35	134.4	44.8	0	1070.5	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1094	2.26	100009	34722	1	99.5	2.88	1545	117	1820.89	2018.14	1820.89	0.1459	0	92	100	99.2	90	17.3	124.5	41.5	0	1068.5	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	683	2.21	59808	15719	1	98.81	3.8	1604	116	1545.31	1851.17	1545.31	0.055	1.4	99	96	100	90	16.23	99.6	33.2	0	1066.26	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.46	188.9	49.33	0	1079.02	39.8	0	4	321	234	67	154.88	17543.75
preact	True	734	2.18	27622	10088	1	100	2.74	1022	104	1362.02	1638.03	1362.02	0.0001	0	99.8	100	100	90	14.51	5	1.67	0	1077.9	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1207	2.25	91158	34628	13	100	2.63	1543	118	1432.33	2124.7	1432.33	0.8073	0	79	96	100	90	14.43	134.4	44.8	0	1090.99	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1201	2.31	158538	50256	1	100	3.15	1022	104	1937.53	2241.7	1937.53	0.0002	31	96.8	100	100	90	19.29	119.5	39.83	0	1073.06	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1090	2.18	26458	9243	1	100	2.86	1551	117	1389.65	1544.48	1389.65	0.0001	0	99.4	100	100	90	18.55	99.6	33.2	0	1064.45	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2872	2.27	117668	38613	11	68.6	3.05	1030	104	1667.51	2117.23	1667.51	0	0	98	100	96	90	17.02	144.4	48.13	0	1039.91	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1276.53	1554.44	1276.53	0.146	0	94	100	96	90	18.55	139.4	46.47	0	1073.11	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	609	2.17	17211	5999	1	96.97	2.87	1022	104	1211.04	1393.56	1211.04	0.0001	0	100	100	100	90	18.4	139.4	46.47	0	1057.22	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1273	2.23	76585	29349	1	100	2.61	1553	118	1659.79	1855.68	1659.79	0.0001	0	99	100	100	90	18.57	139.1	46.37	0	1085.59	0	-0.007	11	677	217	57	686.46	10853.47
