framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1762.58	2017.42	1762.58	0.0002	24.6	98.2	100	100	90	14.79	124.5	41.5	0	1394.91	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6220	2.32	158642	51430	1	100	3.08	5282	104	1958.89	2315.94	1958.89	0.0001	5.6	97	100	100	90	23.19	94.7	31.57	0	1397.57	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1305	2.17	11475	3814	1	100	3.01	2286	109	1211.07	1511.07	1211.07	0.0001	0	100	100	100	90	14.93	109.5	36.5	0	1383.03	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	944	2.19	32881	9964	1	98.43	3.3	1020	105	1544.77	1701.86	1544.77	0.0001	2.4	99	100	100	90	15.26	119.5	20.75	0	1404.71	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	1126	2.26	100009	34722	1	99.5	2.88	1033	106	1838.48	2020.02	1838.48	0.1459	0	92	100	99.2	90	15.62	114.6	19.93	0	1393.84	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	719	2.21	59808	15719	1	98.81	3.8	1022	105	1554.97	1863.96	1554.97	0.055	0.2	99	96	100	90	14.59	114.5	19.92	0	1394.88	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1216.49	1692.03	1216.49	0.0002	0	100	100	100	100	14.75	129.4	15.49	0	1394.27	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	1976	2.3	148231	46596	1	100	3.18	1020	105	1995.13	2262.19	1995.13	0.0002	0	97	100	100	90	18.78	129.3	22.38	0	1381.6	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	722	2.18	27622	10088	1	100	2.74	1022	105	1361.56	1669.24	1361.56	0.0001	0	99.6	100	100	90	14.96	114.6	38.2	0	1434.24	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1184	2.25	91158	34628	13	100	2.63	1030	107	1402.08	2124.91	1402.08	1.0091	0	74	96	100	90	14.85	119.5	20.75	0	1376.9	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1254	2.31	158538	50256	1	100	3.15	1022	105	1945.29	2251.23	1945.29	0.0001	57.2	96	100	100	90	15.23	119.5	39.83	0	1384.54	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1077	2.18	26458	9243	1	100	2.86	1022	105	1387.13	1540.9	1387.13	0.0001	0	99.8	100	100	90	15.13	104.5	18.25	0	1387.38	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2774	2.27	117670	38612	11	68.6	3.05	1667	121	1666.43	2084.08	1666.43	0	0	98.2	100	96	90	15.41	124.4	41.47	0	1389.34	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1245.75	1532.07	1245.75	0.1461	0	94	100	96	90	12.63	134.3	23.22	0	1460.45	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	621	2.17	17211	5999	1	96.97	2.87	1023	105	1211.45	1395.37	1211.45	0.0001	0	100	100	100	90	14.76	89.6	15.77	0	1377.52	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1293	2.23	76585	29349	1	100	2.61	1023	105	1661.6	1860.19	1661.6	0.0001	0	99	100	100	90	14.85	104.7	34.9	0	1384.27	0	-0.004	11	677	217	57	686.46	10853.47
