framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1673.29	1898.33	1673.29	0.0002	16.9	98.6	100	100	90	15.88	69.8	23.27	0	1075.14	0	-0.019	3	444	299	68	83.56	13776.09
angular	True	6138	2.36	193581	61947	3	90.45	3.12	5278	104	1760.7	2221.19	1760.7	0.0001	5.8	97.6	100	100	90	13.57	44.8	14.93	0	1075.61	0	-0.007	13	859	484	89	616.31	29894.72
astro	True	1319	2.17	11475	3814	1	100	3.01	2287	110	1211.98	1511.98	1211.98	0	0	100	100	100	90	19.28	104.7	34.9	0	1062.85	0	-0.005	4	546	372	73	159.38	18153.98
jquery	True	1115	2.26	100009	34722	1	99.5	2.88	1031	107	1824.66	2025.19	1824.66	0.1459	0	92	100	99.2	90	19.2	79.6	14.1	0	1074.45	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	716	2.21	59808	15719	1	98.81	3.8	1023	104	1548.08	1853.52	1548.08	0.055	0.2	99	96	100	90	19.65	94.6	31.53	0	1080.38	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	29.13	144.4	49.77	0	1063.9	44.8	0	4	321	234	67	154.88	17543.75
preact	True	731	2.18	27622	10088	1	100	2.74	1023	105	1362.82	1671.24	1362.82	0.0001	0	99.6	100	100	90	20.54	99.6	33.2	0	1059.88	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1196	2.25	91158	34628	13	100	2.63	1030	107	1402.06	2126.08	1402.06	0.8073	0	79	96	100	90	20.48	94.3	31.43	0	1073.31	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1239	2.31	158538	50256	1	100	3.15	1022	105	1940.77	2245.45	1940.77	0.0001	66.4	95.6	100	100	90	13.02	74.7	24.9	0	1079.71	0	-0.013	13	762	438	90	634.69	24213.69
solid	True	1075	2.18	26458	9243	1	100	2.86	1022	105	1388.33	1543.39	1388.33	0.0001	0	99.4	100	100	90	13.16	54.8	9.97	0	1070.29	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2824	2.27	117668	38614	11	68.6	3.05	1680	121	1669.16	2057.45	1669.16	0	0.4	98.4	100	96	90	20.93	104.7	34.9	0	1043.65	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.32	1541.63	1246.32	0.1461	0	94	100	96	90	18.61	79.6	26.53	0	1063.69	0	-0.015	3	560	426	74	71.69	20768.9
vanjs	True	632	2.17	17211	5999	1	96.97	2.87	1023	105	1209.58	1391.97	1209.58	0.0001	0	100	100	100	90	14.35	89.8	29.93	0	1068.89	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1268	2.23	76585	29349	1	100	2.61	1022	104	1659.88	1853.82	1659.88	0.0001	0	99	100	100	90	17.04	54.8	18.27	0	1074.41	0	-0.006	11	677	217	57	686.46	10853.47
