framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1755.14	2016.12	1755.14	0.0002	8.2	98.2	100	100	90	18.11	124.5	41.5	0	1411.38	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	4970	2.32	158642	51430	1	100	3.08	4265	104	1956.32	2303.69	1956.32	0.0001	0.6	97	100	100	90	17.93	94.6	31.53	0	1433.77	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1088	2.17	11475	3814	1	100	3.01	1870	108	1210.73	1510.73	1210.73	0.0001	0	100	100	100	90	19.29	84.7	28.23	0	1380.46	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	737	2.19	32881	9964	1	98.43	3.3	1016	104	1536.45	1691.38	1536.45	0.0001	0	99	100	100	90	19.31	129.5	22.42	0	1412.57	0	-0.014	13	713	452	91	678.96	24340.98
jquery	True	907	2.26	100009	34722	1	99.5	2.88	1026	106	1814.04	2007.86	1814.04	0.1459	0	92	100	99.2	90	16.08	69.8	23.27	0	1433.87	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	576	2.21	59808	15719	1	98.81	3.8	1018	104	1536.72	1839.98	1536.72	0.055	0	99	96	100	90	17.99	134.5	44.83	0	1459.39	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.04	1674.83	1211.04	0.0002	0	100	100	100	100	19.52	99.7	33.23	0	1398.02	0	-0.002	4	321	234	67	154.88	17543.75
octane	True	1581	2.3	148231	46596	1	100	3.18	1016	104	1989.64	2261.15	1989.64	0.0002	0	97	100	100	90	18.59	84.7	28.23	0	1384.9	0	-0.008	12	741	421	89	579.82	24098.68
preact	True	588	2.18	27622	10088	1	100	2.74	1018	104	1358.11	1632.16	1358.11	0.0001	0	99.8	100	100	90	19.37	99.7	17.45	0	1378.45	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	967	2.25	91158	34628	13	100	2.63	1024	105	1416.52	2121.21	1416.52	1.0091	0	74	96	100	90	14.99	134.6	44.87	0	1387.22	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1000	2.31	158538	50256	1	100	3.15	1018	104	1946.43	2251.85	1946.43	0.0001	233.8	92.4	100	100	90	19.45	129.5	43.17	0	1401.64	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	858	2.18	26458	9243	1	100	2.86	1018	104	1356.99	1541.19	1356.99	0.0001	0	99.8	100	100	90	18.62	134.5	23.25	0	1374.81	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2282	2.27	117668	38612	11	68.6	3.05	1371	117	1664.64	2063.64	1664.64	0	0	98.4	100	96	90	19.91	129.4	43.13	0	1368.36	0	0.01	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1237.43	1538.78	1237.43	0.146	0	94	100	96	90	19.48	129.5	43.17	0	1403.36	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	511	2.17	17211	5999	1	96.97	2.87	1019	104	1208.51	1385.16	1208.51	0.0001	0	100	100	100	90	17.52	59.8	19.93	0	1405.49	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1066	2.23	76585	29349	1	100	2.61	1017	104	1654.98	1842.27	1654.98	0.0001	0	99	100	100	90	18.55	69.8	12.47	0	1380.96	0	-0.003	11	677	217	57	686.46	10853.47
