framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1571.42	1894.97	1571.42	0.0002	18.5	98.8	100	100	90	13.45	49.8	16.6	0	1390.97	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6200	2.32	158642	51430	1	100	3.08	5292	105	1959.06	2316.39	1959.06	0.0001	3.8	97	100	100	90	24.45	59.8	19.93	0	1393.69	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1330	2.17	11475	3814	1	100	3.01	2284	109	1209.08	1509.08	1209.08	0.0001	0	100	100	100	90	15.04	59.8	10.8	0	1399.67	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	937	2.19	32881	9964	1	98.43	3.3	1021	105	1513.28	1698.81	1513.28	0.0001	3.8	99	100	100	90	15.48	34.8	11.6	0	1396.23	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	1098	2.26	100009	34722	1	99.5	2.88	1032	107	1837.13	2026.89	1837.13	0.1459	0	92	100	99.2	90	13.68	59.8	19.93	0	1396.68	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	707	2.21	59808	15719	1	98.81	3.8	1022	105	1551.55	1859.03	1551.55	0.055	1.8	99	96	100	90	20.29	79.7	26.57	0	1394.22	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1215.41	1697.08	1215.41	0.0002	0	100	100	100	100	15.66	74.8	24.93	0	1382.59	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1980	2.3	148231	46596	1	100	3.18	1020	105	1997.92	2264.29	1997.92	0.0002	0	97	100	100	90	17.99	79.4	26.47	0	1404.26	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	707	2.18	27622	10088	1	100	2.74	1022	105	1359.84	1666.76	1359.84	0.0001	0	99.8	100	100	90	15.66	59.8	19.93	0	1389.92	0	-0.002	12	776	461	101	585.8	25344.18
qwik	True	1191	2.25	91158	34628	13	100	2.63	1029	107	1431.62	2123.45	1431.62	1.0074	0	74	96	100	90	16.48	64.8	21.6	0	1450.6	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1225	2.31	158538	50256	1	100	3.15	1022	105	1948.65	2254.17	1948.65	0.0001	40.6	96.4	100	100	90	16.8	54.8	18.27	0	1401.18	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1066	2.18	26458	9243	1	100	2.86	1022	105	1389.04	1543.57	1389.04	0.0001	0	99.6	100	100	90	15.15	64.8	11.63	0	1382.75	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2774	2.27	117670	38609	11	68.6	3.05	1659	120	1669.46	2118.84	1710.14	0	0.3	98	100	96	90	15.62	74.8	24.93	0	1388.35	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1243.92	1542.56	1243.92	0.146	0	94	100	96	90	18.92	74.7	13.28	0	1387.56	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	624	2.17	17211	5999	1	96.97	2.87	1023	105	1213.16	1398.34	1213.16	0.0001	0	100	100	100	90	15.54	84.7	28.23	0	1376	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1274	2.23	76585	29349	1	100	2.61	1022	104	1661.5	1857.85	1661.5	0.0001	0	99	100	100	90	15.72	64.7	21.57	0	1395.33	0	-0.002	11	677	217	57	686.46	10853.47
