framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1374.41	1897.52	1374.41	0.0002	21.6	99.2	100	100	90	22.39	59.5	10.75	0	1464.77	0	-0.008	3	444	299	68	83.56	13776.09
angular	True	6005	2.32	158642	51430	1	100	3.08	5080	104	1959.12	2316.69	1959.12	0.0001	6.2	97	100	100	90	33.09	79.8	26.6	0	1372.82	0	-0.001	13	764	424	88	631.62	27036.12
astro	True	1269	2.17	11475	3814	1	100	3.01	2106	110	1176.22	1506.22	1176.22	0.0001	0	100	100	100	90	20.3	104.7	34.9	0	1446.72	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	877	2.19	32881	9964	1	98.43	3.3	1022	106	1541.86	1697.49	1541.86	0.0001	1.2	99	100	100	90	22.91	74.7	9.41	0	1454.2	0	-0.001	13	713	452	91	678.96	24340.98
jquery	True	1068	2.26	100009	34722	1	99.5	2.88	1031	108	1849.33	2034.4	1849.33	0.1459	0.1	92	100	99.2	90	22.89	84.7	28.23	0	1434.25	0	-0.006	3	481	287	45	87.4	18604.14
lit	True	673	2.21	59808	15719	1	98.81	3.8	1023	105	1554.28	1821.98	1554.28	0.055	0	99	96	100	90	20.12	69.8	23.27	0	1443.8	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1283.3	1705.74	1283.3	0.0003	0	99.6	100	100	100	22.05	69.7	12.45	0	1462.64	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1935	2.3	148231	46596	1	100	3.18	1021	105	1969.06	2264.48	1969.06	0.0002	0.4	97	100	100	90	22.89	104.7	34.9	0	1431.64	0	-0.001	12	741	421	89	579.82	24098.68
preact	True	680	2.18	27622	10088	1	100	2.74	1022	105	1362.74	1640.91	1362.74	0.0001	0	99.6	100	100	90	23.4	94.8	31.6	0	1390.09	0	-0.001	12	776	461	101	585.8	25344.18
qwik	True	1141	2.25	91158	34628	13	100	2.63	1031	107	1401.54	2124.85	1401.54	1.0089	0	74	96	100	90	23.17	94.8	31.6	0	1438.38	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1185	2.31	158538	50256	1	100	3.15	1023	105	1946.19	2250.68	1946.19	0.0002	49.5	96.2	100	100	90	21.98	89.7	29.9	0	1442.92	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	989	2.18	26458	9243	1	100	2.86	1022	105	1368.23	1552.64	1368.23	0.0001	0	99.6	100	100	90	21.57	64.8	11.63	0	1433.86	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	2673	2.27	117668	38610	11	68.6	3.05	1658	119	1665.52	2085.88	1665.52	0	0.6	98.2	100	96	90	18.75	69.8	23.27	0	1372.43	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1275.37	1552.02	1275.37	0.146	0	94	100	96	90	23.61	99.7	17.45	0	1461.62	0	-0.005	3	560	426	74	71.69	20768.9
vanjs	True	582	2.17	17211	5999	1	96.97	2.87	1023	105	1213.59	1399.99	1213.59	0.0001	0	100	100	100	90	20.58	89.7	29.9	0	1455.07	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1220	2.23	76585	29349	1	100	2.61	1022	105	1627.87	1853.81	1627.87	0.0001	0	99	100	100	90	22.34	79.7	9.97	0	1387.36	0	0	11	677	217	57	686.46	10853.47
