framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.33	2015.71	1760.33	0.0002	27	98.2	100	100	90	13.66	119.5	39.83	0	1068.5	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6996	2.4	235945	71051	1	92.17	3.32	5688	104	1803.63	2476.44	1803.63	0.0001	21	96	100	100	90	14.75	69.7	23.23	0	1061.5	0	-0.008	13	888	489	89	604.48	30872.93
jquery	True	1123	2.26	100009	34722	1	99.5	2.88	1578	119	1835.95	2018.03	1835.95	0.1459	0	92	100	99.2	90	14.97	104.5	34.83	0	1045.26	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	714	2.21	59808	15719	1	98.81	3.8	1569	118	1547.87	1854.3	1547.87	0.055	2.8	99	96	100	90	14.26	114.5	38.17	0	1044.3	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	20.79	184.1	52.64	0	1052.52	44.7	-0.002	4	321	234	67	154.88	17543.75
preact	True	730	2.18	27622	10088	1	100	2.74	1023	104	1362.86	1609.29	1362.86	0.0001	0	99.6	100	100	90	12.98	84.6	28.2	0	1039.92	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1220	2.25	91158	34628	13	100	2.63	1539	119	1418.13	2126.58	1418.13	0.8073	0	79	96	100	90	13.15	104.6	34.87	0	1056.68	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1276	2.31	158538	50256	1	100	3.15	1022	105	1960.86	2266.29	1960.86	0.0001	46.8	96.2	100	100	90	14.95	99.6	33.2	0	1060	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1111	2.18	26458	9243	1	100	2.86	1563	119	1390.07	1544	1390.07	0.0001	0	99.4	100	100	90	13.46	99.5	33.17	0	1042.38	0	-0.009	12	786	458	98	581.44	26202.05
svelte	True	2872	2.27	117668	38610	11	68.6	3.05	1025	104	1667.71	2117.22	1667.71	0	0	98	100	96	90	14.93	84.6	28.2	0	1028.42	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1253.21	1535.68	1253.21	0.1461	0	94	100	96	90	14.83	104.5	34.83	0	1050.89	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	632	2.17	17211	5999	1	96.97	2.87	1025	104	1208.27	1389.6	1208.27	0.0001	0	100	100	100	90	12.87	114.5	38.17	0	1036.2	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1308	2.23	76585	29349	1	100	2.61	1575	118	1659.48	1855.82	1659.48	0.0001	0	99	100	100	90	13.23	119.4	39.8	0	1062.54	0	-0.007	11	677	217	57	686.46	10853.47
