framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.68	2017.86	1760.68	0.0001	23.6	98.2	100	100	90	18.61	94.3	31.43	0	1386.31	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6315	2.32	158642	51430	1	100	3.08	5480	104	1959.36	2315.85	1959.36	0.0001	5.4	97	100	100	90	21.99	64.8	21.6	0	1374.75	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1406	2.17	11475	3814	1	100	3.01	2299	110	1208.46	1508.46	1208.46	0	0	100	100	100	90	19.29	84.7	28.23	0	1368.64	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	969	2.19	32881	9964	1	98.43	3.3	1021	105	1540.06	1694.89	1540.06	0.0001	3.4	99	100	100	90	14.54	54.8	9.97	0	1390.68	0	-0.011	13	713	452	91	678.96	24340.98
jquery	True	1159	2.26	100009	34722	1	99.5	2.88	1035	107	1835.78	2024.67	1835.78	0.1459	0	92	100	99.2	90	15.02	64.7	21.57	0	1376.41	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	731	2.21	59808	15719	1	98.81	3.8	1023	105	1557.85	1826.75	1557.85	0.055	0.8	99	96	100	90	13.84	69.8	23.27	0	1383.59	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	20.92	119.3	43.93	0	1378	44.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	762	2.18	27622	10088	1	100	2.74	1025	105	1362.21	1672.11	1362.21	0.0001	0	99.4	100	100	90	13.02	64.8	11.63	0	1365.99	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1228	2.25	91158	34628	13	100	2.63	1032	107	1416.36	2122.24	1416.36	1.0067	0	74	96	100	90	18.16	64.6	21.53	0	1444.92	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1258	2.31	158538	50256	1	100	3.15	1023	105	1939.97	2244.66	1939.97	0.0002	32.8	96.6	100	100	90	16.68	69.7	23.23	0	1387.75	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1116	2.18	26458	9243	1	100	2.86	1023	105	1357.87	1541.6	1357.87	0.0001	0	99.8	100	100	90	15.06	49.7	9.12	0	1368.57	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2863	2.27	117668	38609	11	68.6	3.05	1747	119	1668.18	2117.39	1668.18	0	1.2	98	100	96	90	14.87	74.7	24.9	0	1364.82	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.3	1540.6	1247.3	0.146	0	94	100	96	90	15.23	69.7	23.23	0	1375.57	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	632	2.17	17211	5999	1	96.97	2.87	1024	105	1212.42	1395.23	1212.42	0.0001	0	100	100	100	90	13	59.8	19.93	0	1361.62	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1305	2.23	76585	29349	1	100	2.61	1023	105	1658.42	1853.43	1658.42	0.0001	0	99	100	100	90	15.45	54.8	18.27	0	1385.29	0	-0.004	11	677	217	57	686.46	10853.47
