framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1768.26	2026.95	1768.26	0.0002	20.2	98.2	100	100	90	13.63	114.5	38.17	0	1079.41	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6337	2.36	193581	61947	3	90.45	3.12	5288	104	1764.22	2226.78	1764.22	0.0001	9.2	97.6	100	100	90	13.18	119.6	20.77	0	1076.05	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	1138	2.26	100009	34722	1	99.5	2.88	1577	119	1845.98	2022.68	1845.98	0.1459	0	92	100	99.2	90	13.19	109.6	36.53	0	1071.17	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	728	2.21	59808	15719	1	98.81	3.8	1573	118	1548.25	1854.97	1548.25	0.055	4.4	99	96	100	90	13.42	94.5	31.5	0	1065.54	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	29.66	199	55.56	0	1078.28	44.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	741	2.18	27622	10088	1	100	2.74	1024	104	1362.52	1672.48	1362.52	0.0001	0	99.4	100	100	90	15.84	104.5	34.83	0	1075.58	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1226	2.25	91158	34628	13	100	2.63	1549	118	1432.41	2125.89	1432.41	0.9832	0	74	96	100	90	17.32	114.5	38.17	0	1062.69	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1259	2.31	158538	50256	1	100	3.15	1023	106	1941.65	2246.47	1941.65	0.0002	55.2	96	100	100	90	12.95	119.5	39.83	0	1075.76	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1097	2.18	26458	9243	1	100	2.86	1511	119	1389.03	1544.05	1389.03	0.0001	0	99.8	100	100	90	14.93	124.5	21.58	0	1079.85	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2843	2.27	117670	38611	11	68.6	3.05	1028	104	1667.95	2115.39	1667.95	0	0	98	100	96	90	15.54	104.6	34.87	0	1051.1	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1242.95	1531.93	1242.95	0.146	0	94	100	96	90	14.56	124.5	41.5	0	1064.12	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	639	2.17	17211	5999	1	96.97	2.87	1024	104	1211.11	1393.06	1211.11	0.0001	0	100	100	100	90	14.59	124.4	41.47	0	1060.39	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1325	2.23	76585	29349	1	100	2.61	1569	118	1630.59	1857.89	1630.59	0.0001	0.2	99	100	100	90	14.69	104.6	34.87	0	1060.22	0	-0.006	11	677	217	57	686.46	10853.47
