framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1369.78	1882.59	1369.78	0.0002	0	99.2	100	100	90	14.21	34.9	11.63	0	1426.77	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	4015	2.32	158642	51430	1	100	3.08	3851	104	1956.55	2294.63	1956.55	0.0001	0	97	100	100	90	19.51	69.8	23.27	0	1460.89	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	815	2.17	11475	3814	1	100	3.01	1464	107	1176.85	1506.85	1176.85	0	0	100	100	100	90	16.81	104.6	34.87	0	1415.31	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	593	2.19	32881	9964	1	98.43	3.3	1014	104	1534.26	1688.8	1534.26	0.0001	2	99	100	100	90	16.67	54.9	18.3	0	1422.18	0	-0.005	13	713	452	91	678.96	24340.98
jquery	True	786	2.26	100009	34722	1	99.5	2.88	1020	105	1812.83	2001.55	1812.83	0.1459	0	92	100	99.2	90	19.35	54.9	18.3	0	1429.91	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	486	2.21	59808	15719	1	98.81	3.8	1014	104	1536.45	1840.78	1536.45	0.055	0	99	96	100	90	19.62	54.8	18.27	0	1453.92	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1208.99	1687.33	1208.99	0.0002	0	100	100	100	100	18.05	39.9	7.48	0	1433.72	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1219	2.3	148231	46596	1	100	3.18	1015	104	1983.57	2261.65	1983.57	0.0001	0	97	100	100	90	14.79	44.8	14.93	0	1422.95	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	451	2.18	27622	10088	1	100	2.74	1016	104	1357.37	1661.06	1357.37	0.0001	0	100	100	100	90	22.57	89.7	29.9	0	1439.59	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	817	2.25	91158	34628	13	100	2.63	1019	105	1429.92	2116.87	1429.92	0.6055	0	84	96	100	90	19.62	54.9	18.3	0	1432.46	0	-0.008	16	754	415	83	861.8	26425.59
react	True	770	2.31	158538	50256	1	100	3.15	1015	106	1937.07	2240.5	1937.07	0.0001	7.2	97.2	100	100	90	18.7	69.8	23.27	0	1425.23	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	680	2.18	26458	9243	1	100	2.86	1014	104	1384.85	1540.17	1384.85	0.0001	0	100	100	100	90	21.97	84.7	14.95	0	1428.79	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	1851	2.27	117670	38612	11	68.6	3.05	1315	116	1663.03	2022.54	1663.03	0	0	98.6	100	96	90	21.14	64.8	21.6	0	1382.7	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1231.35	1518.86	1231.35	0.146	0	94	100	96	90	16.83	64.8	21.6	0	1426.38	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	417	2.17	17211	5999	1	96.97	2.87	1015	104	1210.05	1386.48	1210.05	0	0	100	100	100	90	17.03	59.8	19.93	0	1414.48	0	0.002	3	743	388	76	74.17	22895.14
vue	True	892	2.23	76585	29349	1	100	2.61	1015	104	1628.08	1842.72	1628.08	0.0001	0	99	100	100	90	16.29	29.9	9.97	0	1430.48	0	-0.004	11	677	217	57	686.46	10853.47
