framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.05	2018.83	1760.05	0.0002	22.8	98.2	100	100	90	17.58	94.6	31.53	0	1376.87	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	6227	2.32	158642	51430	1	100	3.08	5485	104	1962.05	2318.48	1962.05	0.0001	0.8	97	100	100	90	22.16	124.2	41.4	0	1381.43	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1318	2.17	11475	3814	1	100	3.01	2282	109	1217.22	1508.82	1217.22	0.0001	0	100	100	100	90	20.14	124.1	41.37	0	1372.33	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	934	2.19	32881	9964	1	98.43	3.3	1020	105	1512.95	1698.42	1512.95	0.0001	4	99	100	100	90	16.04	124.5	41.5	0	1381.94	0	-0.015	13	713	452	91	678.96	24340.98
jquery	True	1128	2.26	100009	34722	1	99.5	2.88	1030	107	1834.53	2025.79	1834.53	0.1459	0	92	100	99.2	90	17.26	104.3	34.77	0	1378.53	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	718	2.21	59808	15719	1	98.81	3.8	1022	105	1547.69	1853.03	1547.69	0.055	1	99	96	100	90	17.14	134.2	23.2	0	1372.66	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	28.89	174.1	53.45	0	1385.27	49.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	723	2.18	27622	10088	1	100	2.74	1022	105	1361.21	1636.82	1361.21	0.0001	0	99.6	100	100	90	19.41	119.3	20.72	0	1365.22	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1212	2.25	91158	34628	13	100	2.63	1030	106	1418.13	2126.37	1418.13	1.0109	0	74	96	100	90	16	119.4	39.8	0	1442.24	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1302	2.31	158538	50256	1	100	3.15	1023	105	1946.1	2250.85	1946.1	0.0002	56.7	95.8	100	100	90	13.86	124.4	41.47	0	1373.18	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1080	2.18	26458	9243	1	100	2.86	1022	105	1325.58	1538.97	1325.58	0.0001	0	100	100	100	90	14.4	139.4	46.47	0	1372.42	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2817	2.27	117668	38613	11	68.6	3.05	1680	121	1670.24	2119.69	1670.24	0	0	98	100	96	90	21.08	119.4	39.8	0	1358.18	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.14	1544.12	1249.14	0.1461	0	94	100	96	90	15.28	129.5	43.17	0	1369.63	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	627	2.17	17211	5999	1	96.97	2.87	1023	105	1211.03	1394.95	1211.03	0.0001	0	100	100	100	90	14.09	139.4	46.47	0	1363.2	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1285	2.23	76585	29349	1	100	2.61	1022	104	1659.33	1855	1659.33	0.0001	0	99	100	100	90	19.49	144.5	24.92	0	1381.49	0	-0.003	11	677	217	57	686.46	10853.47
