framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1755.04	1879.9	1755.04	0.0002	0.8	98.4	100	100	90	32.24	30	13.33	0	1458.14	30	-0.009	3	444	299	68	83.56	13776.09
angular	True	4198	2.32	158642	51430	1	100	3.08	3654	104	1958.42	2305.03	1958.42	0.0001	0	97	100	100	90	22.52	20	6.67	0	1402.56	0	-0.006	13	764	424	88	631.62	27036.12
astro	True	852	2.17	11475	3814	1	100	3.01	1666	109	1208.48	1513.34	1208.48	0.0001	0	100	100	100	90	24.32	15	5	0	1438.5	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	724	2.19	32881	9964	1	98.43	3.3	1016	105	1535.84	1690.95	1535.84	0.0001	20.38	99	100	100	90	30.21	20	6.67	0	1404.29	0	-0.01	13	713	452	91	678.96	24340.98
jquery	True	731	2.26	100009	34722	1	99.5	2.88	1027	105	1811.61	1999.21	1811.61	0.1459	0	92	100	99.2	90	15.98	20	8.33	0	1454.05	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	468	2.21	59808	15719	1	98.81	3.8	1018	105	1559.3	1873.25	1559.3	0.055	0	98.8	96	100	90	22.25	15	5	0	1456.23	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.39	74.9	29.48	0	1416.77	19.9	-0.001	4	321	234	67	154.88	17543.75
preact	True	491	2.18	27622	10088	1	100	2.74	1016	105	1357.4	1631.1	1357.4	0.0001	0	99.8	100	100	90	23.45	20	6.67	0	1475.38	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	773	2.25	91158	34628	13	100	2.63	1021	105	1400.01	2117.49	1400.01	0.8056	0	79	96	100	90	25.43	20	6.67	0	1481.54	0	-0.005	16	754	415	83	861.8	26425.59
react	True	807	2.31	158538	50256	1	100	3.15	1017	105	1957.64	2261.46	1957.64	0	0	97	100	100	90	16.84	0	0	0	1444.9	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	683	2.18	26458	9243	1	100	2.86	1017	105	1383.7	1536.95	1383.7	0.0001	0	100	100	100	90	25.39	15	8.33	0	1440.95	25	-0.002	12	786	458	98	581.44	26202.05
svelte	True	1961	2.27	117670	38612	11	68.6	3.05	1327	115	1665.62	2054.03	1665.62	0	0	98.4	100	96	90	15.23	30	8.33	0	1388.31	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1223	1523.6	1223	0.146	0	94	100	96	90	29.7	15	5	0	1427.34	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	415	2.17	17211	5999	1	96.97	2.87	1018	105	1208.37	1386.35	1208.37	0.0001	0	100	100	100	90	22.12	10	3.33	0	1394.97	0	0.003	3	743	388	76	74.17	22895.14
vue	True	852	2.23	76585	29349	1	100	2.61	1018	104	1656.07	1841.91	1656.07	0.0001	0	99	100	100	90	16.57	25	5	0	1468.13	0	-0.003	11	677	217	57	686.46	10853.47
