framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1759.58	2018.67	1759.58	0.0002	21.4	98.2	100	100	90	13.64	119.5	39.83	0	1080.23	0	-0.02	3	444	299	68	83.56	13776.09
angular	True	6155	2.36	193581	61947	3	90.45	3.12	5289	104	1758.36	2312.68	1758.36	0.0001	6.6	97	100	100	90	13.39	119.5	39.83	0	1086.72	0	-0.006	13	859	484	89	616.31	29894.72
astro	True	1315	2.17	11475	3814	1	100	3.01	2284	110	1209.93	1509.93	1209.93	0	0	100	100	100	90	14.87	134.5	23.25	0	1070.78	0	-0.005	4	546	372	73	159.38	18153.98
jquery	True	1118	2.26	100009	34722	1	99.5	2.88	1030	107	1835.78	2017.47	1835.78	0.1459	0	92	100	99.2	90	13.66	119.5	20.75	0	1076.86	0	-0.016	3	481	287	45	87.4	18604.14
lit	True	710	2.21	59808	15719	1	98.81	3.8	1022	105	1543.9	1848.04	1543.9	0.055	0.8	99	96	100	90	17.58	124.1	41.37	0	1080.16	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.78	203.9	55.97	0	1055.54	44.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	708	2.18	27622	10088	1	100	2.74	1022	105	1361.98	1669.87	1361.98	0.0001	0	99.4	100	100	90	14.49	124.5	41.5	0	1077.54	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1195	2.25	91158	34628	13	100	2.63	1030	106	1416.35	2122.81	1416.35	0.6038	0	84	96	100	90	16.62	129.5	43.17	0	1090.44	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1228	2.31	158538	50256	1	100	3.15	1023	105	1940.66	2245.49	1940.66	0.0001	51.9	96	100	100	90	14.32	119.3	39.77	0	1077.15	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1075	2.18	26458	9243	1	100	2.86	1022	105	1360.02	1544.72	1360.02	0.0001	0	99.6	100	100	90	17.87	124.5	41.5	0	1076.75	0	-0.009	12	786	458	98	581.44	26202.05
svelte	True	2806	2.27	117668	38610	11	68.6	3.05	1661	121	1671.87	2058.74	1671.87	0	0	98.2	100	96	90	18.06	119.5	39.83	0	1055.93	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.08	1548.24	1247.08	0.146	0	94	100	96	90	14.17	134.4	44.8	0	1081.39	0	-0.018	3	560	426	74	71.69	20768.9
vanjs	True	632	2.17	17211	5999	1	96.97	2.87	1023	105	1211.71	1394.37	1211.71	0.0001	0	100	100	100	90	13.94	129.5	43.17	0	1068.04	0	0	3	743	388	76	74.17	22895.14
vue	True	1248	2.23	76585	29349	1	100	2.61	1022	104	1658.33	1853.09	1658.33	0.0001	0	99	100	100	90	18.14	119.5	39.83	0	1062.32	0	-0.008	11	677	217	57	686.46	10853.47
