framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1562.51	2021.04	1562.51	0.0002	5	98.6	100	100	90	17.08	129.6	43.2	0	1390.15	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4839	2.32	158642	51430	1	100	3.08	4056	104	1957.5	2302.05	1957.5	0.0001	0	97	100	100	90	14.92	129.5	22.42	0	1447.72	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1028	2.17	11475	3814	1	100	3.01	1679	108	1207.26	1507.26	1207.26	0	0	100	100	100	90	19.01	139.5	46.5	0	1383.19	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	723	2.19	32881	9964	1	98.43	3.3	1016	105	1533.11	1687.07	1533.11	0.0001	0	99	100	100	90	19.19	129.5	43.17	0	1407.56	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	852	2.26	100009	34722	1	99.5	2.88	1024	106	1829.51	2007.47	1829.51	0.1459	0	92	100	99.2	90	17.46	114.6	19.93	0	1395.3	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	556	2.21	59808	15719	1	98.81	3.8	1017	104	1536.53	1839.7	1536.53	0.055	0	99	96	100	90	16.5	84.7	15.78	0	1389.95	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.42	1696.46	1211.42	0.0001	0	100	100	100	100	25.25	134.6	44.87	0	1447.7	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1532	2.3	148231	46596	1	100	3.18	1016	104	1990.99	2263.78	1990.99	0.0001	0	97	100	100	90	15	109.6	36.53	0	1395.02	0	-0.009	12	741	421	89	579.82	24098.68
preact	True	554	2.18	27622	10088	1	100	2.74	1018	104	1357.08	1662.13	1357.08	0.0001	0	99.8	100	100	90	17.21	99.6	17.43	0	1393.66	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	928	2.25	91158	34628	13	100	2.63	1023	106	1430.39	2118.37	1430.39	0.4037	0	89	96	100	90	17.49	74.7	24.9	0	1402.43	0	-0.004	16	754	415	83	861.8	26425.59
react	True	950	2.31	158538	50256	1	100	3.15	1018	104	1958.69	2263.04	1958.69	0.0001	91	94.8	100	100	90	16.36	119.6	39.87	0	1395.52	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	824	2.18	26458	9243	1	100	2.86	1017	104	1383.62	1537.93	1383.62	0.0001	0	100	100	100	90	17.75	114.6	38.2	0	1436.68	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2144	2.27	117670	38614	11	68.6	3.05	1362	117	1663.16	2082.02	1663.16	0	0	98.2	100	96	90	17.72	129.5	43.17	0	1367.45	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1235.89	1523.05	1235.89	0.146	0	94	100	96	90	17.2	104.6	34.87	0	1377.62	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	497	2.17	17211	5999	1	96.97	2.87	1017	104	1207.86	1383.39	1207.86	0.0001	0	100	100	100	90	18.95	134	44.67	0	1386.14	0	0.003	3	743	388	76	74.17	22895.14
vue	True	974	2.23	76585	29349	1	100	2.61	1017	104	1658.74	1846.71	1658.74	0.0001	0	99	100	100	90	16.27	99.6	33.2	0	1393.27	0	-0.002	11	677	217	57	686.46	10853.47
