framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1667.88	2033.9	1667.88	0.0001	30.8	98.4	100	100	90	13.43	64.8	21.6	0	1081.16	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6831	2.36	186649	58506	1	90.1	3.19	5700	104	1661.62	2158.23	1661.62	0.0001	3.6	98	100	100	90	13.07	74.7	24.9	0	1077.47	0	-0.018	13	764	410	78	634.94	26701.75
astro	True	1386	2.17	11475	3814	1	100	3.01	2288	109	1212.56	1512.56	1212.56	0.0001	0	100	100	100	90	13.72	54.8	9.97	0	1065.18	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	963	2.19	32881	9964	1	98.43	3.3	1021	105	1545.98	1703.17	1545.98	0.0001	8	99	100	100	90	12.38	64.8	21.6	0	1067.01	0	-0.016	13	713	452	91	678.96	24340.98
jquery	True	1169	2.26	100009	34722	1	99.5	2.88	1033	107	1837.68	2023.42	1837.68	0.1459	0	92	100	99.2	90	13.54	54.8	18.27	0	1064.59	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	752	2.21	59808	15719	1	98.81	3.8	1023	105	1548.82	1854.32	1548.82	0.055	1.2	99	96	100	90	13.21	69.8	24.93	0	1061.49	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.43	104.6	44.39	0	1061.51	44.6	-0.003	4	321	234	67	154.88	17543.75
preact	True	750	2.18	27622	10088	1	100	2.74	1022	104	1358.97	1663.46	1358.97	0.0001	0	99.8	100	100	90	14.66	74.8	13.3	0	1058.98	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1243	2.25	91158	34628	13	100	2.63	1031	106	1432.27	2125.17	1432.27	0.8182	0	78.8	96	100	90	17.21	54.7	18.23	0	1073.52	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1295	2.31	158538	50256	1	100	3.15	1023	105	1957.66	2261.49	1957.66	0.0001	77	95.2	100	100	90	13.36	69.8	23.27	0	1076.43	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1117	2.18	26458	9243	1	100	2.86	1023	104	1390.24	1546.06	1390.24	0.0001	0	99.2	100	100	90	12.57	44.8	21.6	0	1077.23	0	-0.01	12	786	458	98	581.44	26202.05
svelte	True	2949	2.27	117668	38610	11	68.6	3.05	1748	119	1670.31	2118.53	1670.31	0	0	98	100	96	90	14.35	74.6	24.87	0	1046.25	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1245.01	1544.68	1245.01	0.146	0	94	100	96	90	12.74	79.7	14.12	0	1077.15	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	662	2.17	17211	5999	1	96.97	2.87	1024	104	1211.27	1396.71	1211.27	0.0001	0	100	100	100	90	13.51	64.8	21.6	0	1074.62	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1339	2.23	76585	29349	1	100	2.61	1023	104	1658.46	1854.88	1658.46	0.0001	0	99	100	100	90	13.71	39.8	13.27	0	1072.75	0	-0.007	11	677	217	57	686.46	10853.47
