framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1468.07	2027.15	1468.07	0.0001	29.2	98.8	100	100	90	12.3	124	41.33	0	1092.1	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6625	2.36	194192	62372	3	90.48	3.11	5697	104	1759.36	2433.88	1759.36	0.0001	6.6	97	100	100	90	17.86	128.5	22.25	0	1079.79	0	-0.007	13	766	412	78	633.43	26739.26
astro	True	1443	2.17	11475	3814	1	100	3.01	2315	109	1210.71	1510.71	1210.71	0.0001	0	100	100	100	90	15.61	129.5	43.17	0	1074.67	0	-0.004	4	546	372	73	159.38	18153.98
jquery	True	1183	2.26	100009	34722	1	99.5	2.88	1035	107	1842.04	2027.16	1842.04	0.1459	0	92	100	99.2	90	17.16	109.3	36.43	0	1063.91	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	753	2.21	59808	15719	1	98.81	3.8	1023	105	1551.42	1859.14	1551.42	0.055	4.4	99	96	100	90	17.64	134.3	44.77	0	1072.82	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.09	223.4	56.76	0	1063.34	34.7	0	4	321	234	67	154.88	17543.75
preact	True	754	2.18	27622	10088	1	100	2.74	1023	105	1361.41	1667.12	1361.41	0.0001	0	99.8	100	100	90	17.88	119.5	39.83	0	1068.16	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1246	2.25	91158	34628	13	100	2.63	1033	106	1417.13	2125.43	1417.13	0.7974	0	79	96	100	90	16.8	144.2	48.07	0	1083.35	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1296	2.31	158538	50256	1	100	3.15	1023	105	1942.17	2247.76	1942.17	0.0002	48.8	96.2	100	100	90	12.56	124.4	41.47	0	1076.77	0	-0.013	13	762	438	90	634.69	24213.69
solid	True	1158	2.18	26458	9243	1	100	2.86	1022	105	1384.99	1537.69	1384.99	0.0001	0	100	100	100	90	16.91	134.4	44.8	0	1060.91	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2970	2.27	117670	38614	11	68.6	3.05	1780	121	1669.41	2057.63	1669.41	0	0	98.4	100	96	90	18.39	134.3	44.77	0	1050.63	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1253.96	1540.29	1253.96	0.1461	0	94	100	96	90	19.2	134.4	44.8	0	1077.62	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	655	2.17	17211	5999	1	96.97	2.87	1024	105	1210.76	1393.34	1210.76	0.0001	0	100	100	100	90	14.8	134.3	44.77	0	1070.07	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1344	2.23	76585	29349	1	100	2.61	1023	105	1659.32	1853.98	1659.32	0.0001	0	99	100	100	90	17.5	129.5	43.17	0	1057.52	0	-0.006	11	677	217	57	686.46	10853.47
