framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.92	2022.38	1767.92	0.0001	21.4	98.2	100	100	90	16.88	144.4	48.13	0	1077.83	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6403	2.36	193581	61947	3	90.45	3.12	5489	104	1762.28	2312.97	1762.28	0.0001	5.8	97	100	100	90	16.79	124.5	21.58	0	1076.3	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1136	2.26	100009	34722	1	99.5	2.88	1545	117	1829.41	2030.02	1829.41	0.1459	0	92	100	99.2	90	18.84	139.5	24.08	0	1072.18	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	737	2.21	59808	15719	1	98.81	3.8	1545	119	1557.68	1825.43	1557.68	0.055	1.4	99	96	100	90	12.5	129.4	43.13	0	1061.1	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.79	198.5	58.85	0	1076.81	49.8	0	4	321	234	67	154.88	17543.75
preact	True	745	2.18	27622	10088	1	100	2.74	1023	104	1363.95	1677.93	1363.95	0.0001	0	99.2	100	100	90	18.78	124.5	41.5	0	1067	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1249	2.25	91158	34628	13	100	2.63	1548	119	1403.38	2127.56	1403.38	0.6056	0	84	96	100	90	17.48	124.4	41.47	0	1070.59	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1282	2.31	158538	50256	1	100	3.15	1022	106	1941.64	2246.66	1941.64	0.0002	56.5	96	100	100	90	18.71	124.6	41.53	0	1084.24	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1108	2.18	26458	9243	1	100	2.86	1551	118	1357.54	1541.92	1357.54	0.0001	0	99.6	100	100	90	18.14	129.4	43.13	0	1079.75	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2940	2.27	117668	38609	11	68.6	3.05	1025	104	1667.5	2116.03	1667.5	0	0	98	100	96	90	17	104.3	34.77	0	1053.61	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1284.89	1544.92	1284.89	0.1461	0	94	100	96	90	18.26	119.4	39.8	0	1071.1	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	653	2.17	17211	5999	1	96.97	2.87	1024	104	1214.07	1398.5	1214.07	0.0001	0	100	100	100	90	18.32	114.3	38.1	0	1066.8	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1313	2.23	76585	29349	1	100	2.61	1543	118	1657.86	1851.4	1657.86	0.0001	0	99	100	100	90	18.54	134.3	44.77	0	1077.17	0	-0.005	11	677	217	57	686.46	10853.47
