framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.83	2014.98	1758.83	0.0002	20.8	98.2	100	100	90	17.83	114.5	38.17	0	1093.22	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	5684	2.36	193581	61947	3	90.45	3.12	4886	104	1759.71	2279.17	1759.71	0.0001	3.4	97.2	100	100	90	17.15	109.6	36.53	0	1082.14	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	1033	2.26	100009	34722	1	99.5	2.88	1509	115	1807.22	2016.8	1807.22	0.1459	0	92.2	100	99.2	90	16.68	119.6	39.87	0	1083.64	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	640	2.21	59808	15719	1	98.81	3.8	1522	115	1545.86	1850.99	1545.86	0.055	0	99	96	100	90	20.61	109.6	36.53	0	1091.27	0	0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.19	174.4	46.11	0	1060.91	39.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	647	2.18	27622	10088	1	100	2.74	1022	104	1362.15	1670.03	1362.15	0.0001	0	99.8	100	100	90	17.65	129.6	43.2	0	1078.38	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1086	2.25	91158	34628	13	100	2.63	1515	116	1402.5	2125.5	1402.5	0.4147	0	88.8	96	100	90	17.68	109.6	36.53	0	1086.4	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1111	2.31	158538	50256	1	100	3.15	1021	105	1942.61	2248.51	1942.61	0.0001	123.8	94	100	100	90	17.84	109.7	36.57	0	1076.45	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	950	2.18	26458	9243	1	100	2.86	1518	115	1357.06	1541.29	1357.06	0.0001	0	100	100	100	90	18.29	139.6	46.53	0	1072.48	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2569	2.27	117668	38612	11	68.6	3.05	1029	104	1677.5	2097.51	1677.5	0	2	98	100	96	90	18.41	109.7	36.57	0	1056.12	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1272.47	1538.29	1272.47	0.146	0	94	100	96	90	18.21	104.8	34.93	0	1067.82	0	-0.017	3	560	426	74	71.69	20768.9
vanjs	True	552	2.17	17211	5999	1	96.97	2.87	1022	104	1209.34	1390.62	1209.34	0.0001	0	100	100	100	90	17.64	124.5	41.5	0	1076.05	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1175	2.23	76585	29349	1	100	2.61	1525	116	1657.93	1850.89	1657.93	0.0001	0	99	100	100	90	17.78	109.7	36.57	0	1081.58	0	-0.005	11	677	217	57	686.46	10853.47
