framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1865.57	2021.67	1865.57	0.0002	26.4	98	100	100	90	16.6	44.8	14.93	0	1412.05	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6478	2.32	158642	51430	1	100	3.08	5495	104	1958	2316.99	1958	0.0001	9.8	97	100	100	90	25.39	84.6	28.2	0	1392.05	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1385	2.17	11475	3814	1	100	3.01	2289	109	1209.11	1509.11	1209.11	0.0001	0	100	100	100	90	14.62	44.8	9.13	0	1374.73	0	-0.006	4	546	372	73	159.38	18153.98
geajs	True	953	2.19	32881	9964	1	98.43	3.3	1021	106	1545.18	1701.88	1545.18	0.0001	4.4	99	100	100	90	18.6	84.6	28.2	0	1461.29	0	-0.003	13	713	452	91	678.96	24340.98
jquery	True	1167	2.26	100009	34722	1	99.5	2.88	1031	107	1836.59	2017.28	1836.59	0.1459	0	92	100	99.2	90	16.54	34.8	6.63	0	1403.17	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	755	2.21	59808	15719	1	98.81	3.8	1022	105	1550.79	1857.69	1550.79	0.055	4.6	99	96	100	90	16.96	44.7	6.08	0	1385.28	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1280.29	1698.03	1280.29	0.0001	0	99.8	100	100	100	18.39	59.7	10.78	0	1387.57	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	2061	2.3	148231	46596	1	100	3.18	1021	105	1999.72	2263.68	1999.72	0.0002	0	97	100	100	90	15.88	49.8	9.13	0	1381.36	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	735	2.18	27622	10088	1	100	2.74	1023	105	1361.58	1669.36	1361.58	0.0001	0	99.8	100	100	90	16.13	39.8	13.27	0	1375.8	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1230	2.25	91158	34628	13	100	2.63	1033	107	1416.68	2122.98	1416.68	0.8032	0	79	96	100	90	14.85	54.8	9.97	0	1403.97	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1269	2.31	158538	50256	1	100	3.15	1023	105	1943.03	2247.15	1943.03	0.0002	166.4	93.2	100	100	90	18.49	64.8	21.6	0	1444.37	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1112	2.18	26458	9243	1	100	2.86	1023	105	1390.54	1544.7	1390.54	0.0001	0	99.8	100	100	90	19.47	109.4	36.47	0	1403.89	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2896	2.27	117668	38610	11	68.6	3.05	1688	121	1668.1	2058.37	1668.1	0	1.5	98.4	100	96	90	17.08	89.5	29.83	0	1373.45	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.1	1531.8	1246.1	0.146	0	94	100	96	90	13.23	59.7	19.9	0	1392.07	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	642	2.17	17211	5999	1	96.97	2.87	1023	105	1212.25	1397.37	1212.25	0.0001	0	100	100	100	90	18.66	134.3	23.22	0	1376.65	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1330	2.23	76585	29349	1	100	2.61	1023	105	1661.16	1859.34	1661.16	0.0001	0	99	100	100	90	17.43	64.7	21.57	0	1379.2	0	-0.004	11	677	217	57	686.46	10853.47
