framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1474.11	1893.4	1474.11	0.0002	9.6	99	100	100	90	19.2	59.6	19.87	0	1109.46	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	5381	2.36	193581	61947	3	90.45	3.12	4884	104	1762.96	2219.19	1762.96	0.0001	2.4	97.6	100	100	90	23.12	35	11.67	0	1093.22	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	1014	2.26	100009	34722	1	99.5	2.88	1482	115	1822.17	2017.36	1822.17	0.1459	0	92	100	99.2	90	18.34	94.7	31.57	0	1087.36	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	627	2.21	59808	15719	1	98.81	3.8	1524	116	1552.55	1861.52	1552.55	0.055	0	99	96	100	90	13.97	29.9	5.82	0	1098.15	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.05	69.9	34.9	0	1087.84	34.9	-0.003	4	321	234	67	154.88	17543.75
preact	True	642	2.18	27622	10088	1	100	2.74	1022	104	1359.86	1664.79	1359.86	0.0001	0	99.6	100	100	90	17.95	104.6	34.87	0	1102.05	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1041	2.25	91158	34628	13	100	2.63	1499	114	1431.4	2122.73	1431.4	1.0091	0	74	96	100	90	18.35	119.7	39.9	0	1089.02	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1111	2.31	158538	50256	1	100	3.15	1022	105	1986.94	2305.41	1986.94	0.0002	0	96.8	100	100	90	18.96	49.8	16.6	0	1085.68	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	965	2.18	26458	9243	1	100	2.86	1491	115	1357.8	1542.6	1357.8	0.0001	0	99.6	100	100	90	16.38	139.7	46.57	0	1076.49	0	-0.01	12	786	458	98	581.44	26202.05
svelte	True	2481	2.27	117670	38611	11	68.6	3.05	1026	104	1666.51	2055.35	1666.51	0	0	98.2	100	96	90	17.91	79.8	14.13	0	1077.17	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1245.92	1530.09	1245.92	0.1461	0	94	100	96	90	17.18	94.7	16.62	0	1088.1	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	563	2.17	17211	5999	1	96.97	2.87	1023	105	1208.47	1388.91	1208.47	0.0001	0	100	100	100	90	22.77	99.7	33.23	0	1078.52	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1173	2.23	76585	29349	1	100	2.61	1513	115	1656.53	1848.59	1656.53	0.0001	0	99	100	100	90	17.89	54.8	18.27	0	1075.88	0	-0.005	11	677	217	57	686.46	10853.47
