framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1679.28	1903.75	1679.28	0.0002	18.6	98.6	100	100	90	15.96	69.8	23.27	0	1406	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6170	2.32	158642	51430	1	100	3.08	5083	104	1957.91	2314.06	1957.91	0.0001	3	97	100	100	90	29.5	99.5	33.17	0	1392.13	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1318	2.17	11475	3814	1	100	3.01	2285	109	1209.24	1509.24	1209.24	0.0001	0	100	100	100	90	20.14	79.7	14.12	0	1388.89	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	944	2.19	32881	9964	1	98.43	3.3	1021	106	1543.35	1699.52	1543.35	0.0001	1.4	99	100	100	90	13.95	74.8	24.93	0	1469.35	0	-0.013	13	713	452	91	678.96	24340.98
jquery	True	1119	2.26	100009	34722	1	99.5	2.88	1043	107	1823.12	2007.78	1823.12	0.1459	0.4	92.2	100	99.2	90	16.18	29.9	9.97	0	1414.39	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	698	2.21	59808	15719	1	98.81	3.8	1024	105	1560.25	1830.03	1560.25	0.055	1.8	99	96	100	90	16.16	25	5	0	1399.14	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	21.51	119.5	48.5	0	1424.88	54.8	0.001	4	321	234	67	154.88	17543.75
preact	True	724	2.18	27622	10088	1	100	2.74	1022	105	1361.61	1669.31	1361.61	0.0001	0	99.6	100	100	90	19.96	84.7	28.23	0	1380.46	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1188	2.25	91158	34628	13	100	2.63	1031	107	1401.98	2124.69	1401.98	0.8073	0	79	96	100	90	18.57	74.8	24.93	0	1402.67	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1235	2.31	158538	50256	1	100	3.15	1022	105	1940.5	2245.75	1940.5	0.0002	89.8	94.8	100	100	90	18.47	84.7	28.23	0	1381.69	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1070	2.18	26458	9243	1	100	2.86	1023	105	1391.06	1545.58	1391.06	0.0001	0	99.6	100	100	90	16.35	59.8	19.93	0	1404.71	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2810	2.27	117668	38609	11	68.6	3.05	1669	120	1667.52	2087	1667.52	0	3.1	98.2	100	96	90	16.24	34.9	11.63	0	1387.91	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1270.54	1524.85	1270.54	0.146	0	94	100	96	90	22.78	94.5	16.58	0	1382.62	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	630	2.17	17211	5999	1	96.97	2.87	1024	105	1210.9	1395.55	1210.9	0.0001	0	100	100	100	90	14.14	74.8	24.93	0	1394.67	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1262	2.23	76585	29349	1	100	2.61	1022	105	1660.27	1859	1660.27	0.0001	0	99	100	100	90	19.89	94.6	31.53	0	1397.29	0	-0.005	11	677	217	57	686.46	10853.47
