framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1467.38	1885.9	1467.38	0.0003	1.4	99	100	100	90	14.11	30	10	0	1387.86	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4818	2.32	158642	51430	1	100	3.08	4055	104	1956.5	2302.14	1956.5	0.0001	0	97	100	100	90	19.19	59.8	19.93	0	1446.13	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	989	2.17	11475	3814	1	100	3.01	1869	107	1149.27	1509.27	1149.27	0	0	100	100	100	90	19.21	59.8	19.93	0	1422.44	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	729	2.19	32881	9964	1	98.43	3.3	1016	104	1537.43	1692.85	1537.43	0.0001	0	99	100	100	90	19.18	49.9	16.63	0	1416.08	0	-0.009	13	713	452	91	678.96	24340.98
jquery	True	860	2.26	100009	34722	1	99.5	2.88	1027	105	1807.02	2007.12	1807.02	0.1459	0	92	100	99.2	90	19.06	69.8	23.27	0	1382.45	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	536	2.21	59808	15719	1	98.81	3.8	1018	104	1539.53	1843.6	1539.53	0.055	0	99	96	100	90	18.73	84.8	28.27	0	1386.98	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1210.41	1690.37	1210.41	0.0002	0	100	100	100	100	16.62	35	11.67	0	1418.61	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1589	2.3	148231	46596	1	100	3.18	1017	104	1987.99	2259.58	1987.99	0.0002	0	97	100	100	90	14.17	35	11.67	0	1414.4	0	-0.008	12	741	421	89	579.82	24098.68
preact	True	550	2.18	27622	10088	1	100	2.74	1020	104	1362.46	1641.99	1362.46	0.0001	0	99.6	100	100	90	17.12	39.9	13.3	0	1437.04	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	917	2.25	91158	34628	13	100	2.63	1025	105	1430.89	2119.35	1430.89	0.6038	0	84	96	100	90	18.88	59.7	19.9	0	1391.69	0	-0.004	16	754	415	83	861.8	26425.59
react	True	929	2.31	158538	50256	1	100	3.15	1018	104	1947.26	2251.59	1947.26	0.0001	79.7	95.2	100	100	90	19.12	64.8	21.6	0	1413.65	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	799	2.18	26458	9243	1	100	2.86	1018	104	1379.21	1538.31	1379.21	0.0001	0	100	100	100	90	17.91	69.8	23.27	0	1429.07	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2164	2.27	117668	38614	11	68.6	3.05	1377	115	1667.29	2117.78	1667.29	0	0	98	100	96	90	18.6	54.9	18.3	0	1381.58	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1239.05	1536.8	1239.05	0.146	0	94	100	96	90	17.08	54.8	18.27	0	1433.68	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	468	2.17	17211	5999	1	96.97	2.87	1019	104	1210.37	1388.76	1210.37	0.0001	0	100	100	100	90	18.56	54.8	18.27	0	1410.06	0	0.003	3	743	388	76	74.17	22895.14
vue	True	990	2.23	76585	29349	1	100	2.61	1017	104	1659.03	1848.55	1659.03	0.0001	0	99	100	100	90	19.68	79.7	26.57	0	1413.54	0	-0.003	11	677	217	57	686.46	10853.47
