framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1462.91	2018.19	1462.91	0.0001	5.8	98.8	100	100	90	14	5	1.67	0	1099.12	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	5044	2.32	158642	51430	1	100	3.08	4051	104	1963.49	2300.14	1963.49	0.0001	0	97	100	100	90	22.2	49.9	16.63	0	1098.71	0	-0.007	13	764	424	88	631.62	27036.12
astro	True	1047	2.17	11475	3814	1	100	3.01	1677	108	1244.14	1544.14	1244.14	0.0001	10.41	99.8	100	100	90	13.8	29.9	5.82	0	1075.95	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	732	2.19	32881	9964	1	98.43	3.3	1016	104	1505.11	1689.97	1505.11	0.0001	0	99	100	100	90	14.68	44.9	14.97	0	1083.3	0	-0.007	13	713	452	91	678.96	24340.98
jquery	True	874	2.26	100009	34722	1	99.5	2.88	1023	106	1823.54	2005.41	1823.54	0.1459	0	92	100	99.2	90	14.49	30	10	0	1096.44	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	558	2.21	59808	15719	1	98.81	3.8	1018	104	1609.28	1979.72	1609.28	0.055	0	98.2	96	100	90	14.56	39.9	13.3	0	1081.09	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.44	59.8	33.22	0	1075.55	29.9	-0.001	4	321	234	67	154.88	17543.75
preact	True	571	2.18	27622	10088	1	100	2.74	1018	104	1360.51	1665.17	1360.51	0.0001	0	99.6	100	100	90	14.44	44.8	14.93	0	1078.91	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	924	2.25	91158	34628	13	100	2.63	1024	105	1415.69	2120.08	1415.69	0.6022	0	84	96	100	90	14.72	30	5.83	0	1089.37	0	-0.01	16	754	415	83	861.8	26425.59
react	True	966	2.31	158538	50256	1	100	3.15	1018	104	1956.4	2259.61	1956.4	0.0001	0	97	100	100	90	13	44.8	14.93	0	1077.63	0	-0.013	13	762	438	90	634.69	24213.69
solid	True	831	2.18	26458	9243	1	100	2.86	1017	104	1352.34	1536.32	1352.34	0.0001	0	100	100	100	90	14.03	44.9	14.97	0	1092.08	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2180	2.27	117670	38611	11	68.6	3.05	1384	117	1665.11	2116.37	1665.11	0	0	98	100	96	90	12.72	34.9	11.63	0	1071.95	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1237.27	1519.83	1237.27	0.146	0	94	100	96	90	13.41	44.9	14.97	0	1077.1	0	-0.015	3	560	426	74	71.69	20768.9
vanjs	True	489	2.17	17211	5999	1	96.97	2.87	1018	104	1209.13	1385.49	1209.13	0.0001	0	100	100	100	90	12.25	39.9	13.3	0	1066.92	0	-0.003	3	743	388	76	74.17	22895.14
vue	True	1019	2.23	76585	29349	1	100	2.61	1017	104	1677.36	1874.04	1677.36	0.0001	0	98.8	100	100	90	13.27	25	8.33	0	1089.65	0	-0.006	11	677	217	57	686.46	10853.47
