framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1569.97	1903.21	1569.97	0.0002	23.8	98.8	100	100	90	18.51	99.5	33.17	0	1070.05	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	7024	2.4	235945	71051	1	92.17	3.32	5893	104	1804.03	2484.25	1804.03	0.0001	28.2	96	100	100	90	19	74.7	24.9	0	1069.73	0	-0.004	13	888	489	89	604.48	30872.93
jquery	True	1142	2.26	100009	34722	1	99.5	2.88	1534	118	1833.45	2025.48	1833.45	0.1459	0.4	92	100	99.2	90	20.2	104.5	34.83	0	1050.18	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	749	2.21	59808	15719	1	98.81	3.8	1567	119	1545.27	1848.71	1545.27	0.055	3.8	99	96	100	90	15.92	44.8	14.93	0	1067.64	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	23.79	164.1	51.81	0	1043.34	49.7	-0.003	4	321	234	67	154.88	17543.75
preact	True	739	2.18	27622	10088	1	100	2.74	1023	104	1359.66	1666.58	1359.66	0.0001	0	99.6	100	100	90	15.24	109.5	36.5	0	1040.86	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1223	2.25	91158	34628	13	100	2.63	1569	118	1426.01	2133.69	1426.01	1.0105	8.42	74	96	100	90	19.12	94.5	31.5	0	1054.09	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1262	2.31	158538	50256	1	100	3.15	1023	105	1970.61	2306.66	1970.61	0.0002	493.5	89.8	100	100	90	18.3	94.5	31.5	0	1045.42	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1090	2.18	26458	9243	1	100	2.86	1548	120	1356.79	1549.88	1356.79	0.0001	0	99.6	100	100	90	13.4	10	2.5	0	1059.51	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2932	2.27	117670	38608	11	68.6	3.05	1037	104	1668.8	2116.12	1668.8	0	5.2	98	100	96	90	20.85	94.6	31.53	0	1032.55	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1236.89	1533.38	1236.89	0.146	0	94	100	96	90	19.19	84.6	28.2	0	1057.65	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	654	2.17	17211	5999	1	96.97	2.87	1023	104	1210.89	1395.53	1210.89	0.0001	0	100	100	100	90	20.38	94.6	31.53	0	1040.29	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1331	2.23	76585	29349	1	100	2.61	1562	118	1658.42	1855.04	1658.42	0.0001	0	99	100	100	90	17.59	89.6	29.87	0	1055.8	0	-0.005	11	677	217	57	686.46	10853.47
